代號,名稱,年度,季別,營業活動之淨現金流入（流出）
1504,東元,108,Q1,273535.0
1506,正道,108,Q3,36786.0
1506,正道,108,Q1,70976.0
1506,正道,108,Q4,16001.0
1506,正道,108,Q2,62598.0
1512,瑞利,108,Q1,42958.0
1512,瑞利,108,Q4,65565.0
1512,瑞利,108,Q3,14199.0
1512,瑞利,108,Q2,68285.0
1513,中興電,108,Q1,653042.0
1513,中興電,108,Q3,552380.0
1513,中興電,108,Q4,1666354.0
1513,中興電,108,Q2,431659.0
1514,亞力,108,Q2,34663.0
1514,亞力,108,Q4,353450.0
1514,亞力,108,Q3,83092.0
1514,亞力,108,Q1,36191.0
1515,力山,108,Q1,575511.0
1515,力山,108,Q2,168494.0
1515,力山,108,Q4,1563538.0
1515,力山,108,Q3,270659.0
1516,川飛,108,Q1,85533.0
1516,川飛,108,Q2,55222.0
1516,川飛,108,Q3,36136.0
1516,川飛,108,Q4,86786.0
1517,利奇,108,Q2,42271.0
1517,利奇,108,Q1,66974.0
1517,利奇,108,Q3,31064.0
1517,利奇,108,Q4,70453.0
1519,華城,108,Q4,696024.0
1519,華城,108,Q3,207769.0
1519,華城,108,Q2,139738.0
1519,華城,108,Q1,248728.0
1521,大億,108,Q3,178904.0
1521,大億,108,Q2,53248.0
1521,大億,108,Q4,389234.0
1521,大億,108,Q1,76288.0
1522,堤維西,108,Q4,1865140.0
1522,堤維西,108,Q1,225108.0
1522,堤維西,108,Q3,1139160.0
1522,堤維西,108,Q2,539313.0
1524,耿鼎,108,Q4,375157.0
1524,耿鼎,108,Q1,74708.0
1524,耿鼎,108,Q2,149883.0
1524,耿鼎,108,Q3,236502.0
1525,江申,108,Q1,100346.0
1525,江申,108,Q3,57416.0
1525,江申,108,Q2,118930.0
1525,江申,108,Q4,78244.0
1526,日馳,108,Q4,159540.0
1526,日馳,108,Q1,24717.0
1526,日馳,108,Q3,129934.0
1526,日馳,108,Q2,90576.0
1527,鑽全,108,Q4,1084018.0
1527,鑽全,108,Q2,660426.0
1527,鑽全,108,Q3,875002.0
1527,鑽全,108,Q1,323385.0
1528,恩德,108,Q2,145918.0
1528,恩德,108,Q3,484290.0
1528,恩德,108,Q4,492150.0
1528,恩德,108,Q1,105887.0
1529,樂事綠能,108,Q4,159114.0
1529,樂事綠能,108,Q2,97694.0
1529,樂事綠能,108,Q3,61145.0
1529,樂事綠能,108,Q1,105733.0
1530,亞崴,108,Q3,524313.0
1530,亞崴,108,Q1,64485.0
1530,亞崴,108,Q2,309627.0
1530,亞崴,108,Q4,811467.0
1531,高林股,108,Q4,461915.0
1531,高林股,108,Q2,184561.0
1531,高林股,108,Q3,370462.0
1531,高林股,108,Q1,25458.0
1532,勤美,108,Q4,405912.0
1532,勤美,108,Q3,1345299.0
1532,勤美,108,Q1,596217.0
1532,勤美,108,Q2,1415969.0
1533,車王電,108,Q4,339823.0
1533,車王電,108,Q1,72018.0
1533,車王電,108,Q3,250206.0
1533,車王電,108,Q2,99656.0
1535,中宇,108,Q3,202166.0
1535,中宇,108,Q2,244538.0
1535,中宇,108,Q1,470124.0
1535,中宇,108,Q4,984286.0
1536,和大,108,Q4,311731.0
1536,和大,108,Q1,129166.0
1536,和大,108,Q2,138139.0
1536,和大,108,Q3,20952.0
1537,廣隆,108,Q3,1292484.0
1537,廣隆,108,Q1,521079.0
1537,廣隆,108,Q4,1666549.0
1537,廣隆,108,Q2,847535.0
1538,正峰,108,Q2,25683.0
1538,正峰,108,Q3,28751.0
1538,正峰,108,Q4,10178.0
1538,正峰,108,Q1,32197.0
1539,巨庭,108,Q3,201677.0
1539,巨庭,108,Q2,5156.0
1539,巨庭,108,Q1,88771.0
1539,巨庭,108,Q4,145958.0
1540,喬福,108,Q4,118085.0
1540,喬福,108,Q2,52699.0
1540,喬福,108,Q3,66636.0
1540,喬福,108,Q1,34309.0
1541,錩泰,108,Q1,151559.0
1541,錩泰,108,Q4,417032.0
1541,錩泰,108,Q3,244756.0
1541,錩泰,108,Q2,42941.0
1558,伸興,108,Q1,23912.0
1558,伸興,108,Q4,769441.0
1558,伸興,108,Q3,157240.0
1558,伸興,108,Q2,398786.0
1560,中砂,108,Q4,997349.0
1560,中砂,108,Q3,539554.0
1560,中砂,108,Q2,503884.0
1560,中砂,108,Q1,279825.0
1563,巧新,108,Q2,356288.0
1563,巧新,108,Q4,571508.0
1565,精華,108,Q3,1230250.0
1565,精華,108,Q1,178831.0
1565,精華,108,Q4,1373371.0
1565,精華,108,Q2,566362.0
1568,倉佑,108,Q1,137370.0
1568,倉佑,108,Q3,304394.0
1568,倉佑,108,Q2,248701.0
1568,倉佑,108,Q4,270190.0
1569,濱川,108,Q4,684450.0
1569,濱川,108,Q3,496869.0
1569,濱川,108,Q1,293834.0
1569,濱川,108,Q2,226671.0
1570,力肯,108,Q2,2807.0
1570,力肯,108,Q3,42581.0
1570,力肯,108,Q4,49488.0
1570,力肯,108,Q1,1304.0
1580,新麥,108,Q3,455653.0
1580,新麥,108,Q1,79347.0
1580,新麥,108,Q4,742027.0
1580,新麥,108,Q2,288423.0
1582,信錦,108,Q2,493957.0
1582,信錦,108,Q3,925640.0
1582,信錦,108,Q1,355294.0
1582,信錦,108,Q4,1126447.0
1583,程泰,108,Q3,1354707.0
1583,程泰,108,Q4,1869535.0
1583,程泰,108,Q2,1025454.0
1583,程泰,108,Q1,540985.0
1584,精剛,108,Q3,21512.0
1584,精剛,108,Q1,14233.0
1584,精剛,108,Q2,6955.0
1584,精剛,108,Q4,63226.0
1586,和勤,108,Q3,394992.0
1586,和勤,108,Q4,412569.0
1586,和勤,108,Q1,39795.0
1586,和勤,108,Q2,235822.0
1587,吉茂,108,Q4,181608.0
1587,吉茂,108,Q2,19105.0
1587,吉茂,108,Q1,41117.0
1587,吉茂,108,Q3,103614.0
1589,永冠-KY,108,Q4,325338.0
1589,永冠-KY,108,Q2,479811.0
1589,永冠-KY,108,Q3,648823.0
1589,永冠-KY,108,Q1,180133.0
1590,亞德客-KY,108,Q3,3707707.0
