"Symbol","COMPANY","收盤日","收盤價","預期報酬率","貴價","淑價","預期ROE","NAV","預期常利","財報幣別","盈再率","預期配息率","股息","股子","ROE1","ROE2","ROE3","ROE4","ROE5","SECTOR","Industry","交易所","Shares","財報","最近營收年度","營收","近12月最高價","近12月最低價"
"4714","RISO KYOIKU CO LTD","20260130",206.0,7.0,344.75,112.7,16.26,70.66,1957.0,"JPY",-30.9,90.0,"",0,24.8,21.1,15.7,37.3,"","Consumer Services","Education & Training Services","",170.3,"",2025,33394.0,279.0,194.0
"4716","ORACLE CORP JAPAN","20260130",10460.0,4.0,13907.37,4546.34,36.28,1277.76,59384.5,"JPY",1.9,69.1,"",0,31.7,35.7,41.5,23.3,"","Technology Services","Software - Application","",128.1,"",2025,263510.0,17875.0,11000.0
"4718","WASEDA ACADEMY","20260130",2085.0,7.0,3493.76,1310.75,15.44,821.64,2344.6,"JPY",15.5,60.7,"",0,16.6,17.1,13.7,10.2,"","Consumer Services","Education & Training Services","",18.48,"",2025,35069.0,2955.0,1811.0
"4719","ALPHA SYSTEMS INC","20260130",3785.0,8.0,6929.06,2265.12,7.46,3096.3,3242.8,"JPY",51.4,47.0,"",0,7.7,7.7,7.6,7.7,"","Technology Services","Software - Application","",14.04,"",2025,38484.0,4240.0,2800.0
"471A","NS Group,Inc.","20260130",1495.0,9.0,3032.79,991.42,18.47,547.18,5272.0,"JPY","",0.0,32.68,0,24.8,"","","","","Finance","Real Estate Development","",52.15,"",2024,26348.0,1505.0,1295.0
"4720","JOHNAN ACADEMIC PREPARATORY","20260130",287.0,"","","",-15.95,178.83,-229.1,"JPY","",0.0,"",0,-16.3,-3.2,-4.2,0.5,"","Technology Services","Education & Training Services","",8.03,"",2025,5623.0,363.0,200.0
"4722","FUTURE CORPORATION","20260130",1896.0,7.0,3233.78,1225.85,18.2,625.72,10100.4,"JPY",-12.4,67.5,46.0,0,19.7,22.6,20.4,17.0,"","Technology Services","Information Technology Services","",88.68,"",2024,69878.0,2448.0,1551.0
"4725","CAC HOLDINGS CORP","20260130",2005.0,3.0,2458.39,803.65,3.75,2183.93,1402.1,"JPY",-43.4,80.9,100.0,0,5.5,5.6,5.4,8.5,"","Technology Services","Information Technology Services","",17.11,"",2024,52063.0,2233.0,1798.0
"4728","Tose Co., Ltd.","20260130",652.0,14.0,1893.6,619.02,7.82,807.65,478.5,"JPY",19.9,69.5,"",0,9.2,-3.5,5.2,5.0,2.8,"Technology Services","Electronic Gaming & Multimedia","",7.58,"",2025,6636.0,713.0,561.0
"4732","USS CO LTD","20260130",1707.0,4.0,1963.53,765.84,18.15,439.86,37064.6,"JPY",1.9,76.6,"",0,19.2,17.7,16.6,16.4,"","Retail Trade","Auto & Truck Dealerships","",464.25,"",2025,104021.0,1839.0,1282.5
"4733","OBIC BUSINESS CONSULTANT","20260130",6860.0,-1.0,6238.33,2039.32,9.83,2114.78,15633.3,"JPY",3.5,72.1,"",0,10.7,9.9,8.1,9.2,"","Technology Services","Information Technology Services","",75.18,"",2025,46984.0,9379.0,6503.0
"4735","KYOSHIN CO LTD","20260130",309.0,2.0,373.54,122.11,2.46,506.89,95.8,"JPY",-79.1,90.0,"",0,3.9,23.0,0.4,1.8,"","Consumer Services","Education & Training Services","",7.69,"",2025,26455.0,396.0,279.0
"4743","ITFOR INC","20260130",1698.0,6.0,2711.11,1013.16,14.62,720.0,2784.6,"JPY",20.6,57.5,"",0,15.4,16.1,14.9,15.0,"","Technology Services","Information Technology Services","",26.45,"",2025,20552.0,1750.0,1258.0
"4745","TOKYO INDIVIDUALIZED EDUCATIONAL","20260107",446.0,5.0,677.3,221.41,14.07,160.47,1223.9,"JPY",-35.4,90.0,"",0,13.5,12.7,14.8,18.7,"","Commercial Services","Education & Training Services","",54.21,"",2025,22182.0,1502520960.0,974789888.0
"4746","TOUKEI COMPUTER","20260130",4215.0,5.0,6141.59,2228.01,11.12,2248.63,4483.0,"JPY",129.6,41.6,167.5,0,13.1,13.6,12.9,11.1,"","Electronic Technology","Software - Application","",17.93,"",2024,19634.0,4565.0,3560.0
"4750","DAISAN CO LTD","20260130",593.0,9.0,1214.04,396.87,4.66,868.17,259.4,"JPY",-41.8,50.0,"",0,5.6,0.5,-0.2,-0.5,"","Industrial Services","Engineering & Construction","",6.41,"",2025,10837.0,667.0,533.0
"4751","CyberAgent Incorporated","20260130",1400.5,6.0,2300.51,836.6,19.09,362.69,35075.6,"JPY",28.2,52.5,"",0,23.6,17.1,4.2,22.8,50.0,"Technology Services","Advertising Agencies","",506.63,"",2025,874030.0,1933.0,1000.5
"4752","SHOWA SYSTEM ENGINEERING","20260130",1612.0,14.0,4306.32,1609.32,13.37,1248.13,714.3,"JPY",20.4,56.5,"",0,14.5,15.0,13.0,11.2,"","Technology Services","Information Technology Services","",4.28,"",2025,8317.0,1868.0,1240.0
"4754","Tosnet Corporation","20260130",1610.0,11.0,3706.68,1211.72,6.76,1826.51,573.3,"JPY",6.8,59.6,"",0,7.4,5.0,8.2,7.9,8.8,"Commercial Services","Security & Protection Services","",4.64,"",2025,11907.0,1700.0,1196.0
"4755","RAKUTEN GROUP INC","20260130",925.0,"","","",-34.06,428.37,-316002.4,"JPY","",0.0,"",0,-38.2,-45.3,-32.3,-39.1,"","Retail Trade","Internet Retail","",2166.03,"",2024,2279233.0,1068.5,695.0
"4760","Alpha Co., Ltd.","20260130",1595.0,13.0,4233.75,1384.02,7.42,1902.5,112.9,"JPY",2887.2,0.0,"",0,9.2,10.3,-26.3,-8.6,-1.9,"Commercial Services","Advertising Agencies","",0.8,"",2025,6365.0,3990.0,1163.0
"4761","SAKURA KCS","20260130",1219.0,11.0,2792.28,912.8,5.25,1773.66,1042.5,"JPY",99.2,23.4,"",0,5.4,5.0,4.2,3.6,"","Technology Services","Information Technology Services","",11.2,"",2025,22537.0,1631.0,950.0
"4762","XNET CORPORATION","20260130",1539.0,16.0,4749.76,1785.48,21.77,698.8,635.9,"JPY",-15.3,67.9,"",0,6.8,9.5,9.2,10.1,"","Technology Services","Software - Application","",4.18,"",2025,5300.0,1550.0,1281.0
"4763","CREEK & RIVER","20260130",1520.0,13.0,3987.93,1470.33,18.1,749.93,2873.2,"JPY",8.9,56.3,"",0,15.4,19.4,23.2,22.6,"","Commercial Services","Consulting Services","",21.17,"",2025,50275.0,1733.0,1343.0
"4765","SBI GLOBAL ASSET MANAGEMENT CO LTD","20260130",635.0,-4.0,450.1,147.14,10.12,148.27,1542.3,"JPY",174.3,56.3,"",0,10.0,8.8,-2.0,11.3,"","Finance","Asset Management","",102.8,"",2025,11568.0,721.0,554.0
"4766","PA CO LTD","20260130",270.0,-2.0,237.21,77.54,18.28,43.26,85.0,"JPY",22.1,39.0,"",0,17.9,12.2,14.3,-7.1,"","Commercial Services","Staffing & Employment Services","",10.75,"",2024,1877.0,309.0,211.0
"4767","TOW CO LTD","20260130",378.0,14.0,995.0,392.46,16.46,241.28,1628.2,"JPY",-9.0,80.4,"",0,18.4,16.7,9.3,5.8,"","Consumer Services","Advertising Agencies","",40.99,"",2025,17782.0,398.0,283.0
"4768","OTSUKA CORPORATION","20260130",3062.0,2.0,3660.41,1436.78,15.23,977.84,56476.3,"JPY",0.6,77.4,85.0,0,16.2,14.7,13.4,14.2,"","Technology Services","Electronics & Computer Distribution","",379.2,"",2024,1107668.0,3385.0,2815.0
"4769","IC CO.,LTD.","20260130",1045.0,1.0,1116.02,364.83,4.3,865.14,276.4,"JPY",64.5,52.3,"",0,4.6,6.1,5.0,9.8,9.0,"Technology Services","Information Technology Services","",7.43,"",2025,10136.0,1208.0,860.0
"476A","Tsuji Hongo IT Consulting Co.,Ltd.","20260130",2303.0,5.0,3301.78,1079.36,18.43,597.04,186.0,"JPY","",0.0,"",0,28.6,"","","","","Commercial Services","Miscellaneous Commercial Services","",1.69,"",2025,2124.0,2530.0,2170.0
