代號,名稱,年度,季別,出表日期,淨利（損）歸屬於母公司業主,營業收入,營業成本,基本每股盈餘（元）
1530,亞崴,114,Q2,114/11/13,,1036303.0,902638.0,4.07
1530,亞崴,114,Q1,114/11/13,,552359.0,474940.0,3.36
1531,高林股,114,Q1,114/11/13,,410520.0,329458.0,0.17
1531,高林股,114,Q2,114/11/13,,799626.0,630850.0,0.41
1532,勤美,114,Q1,114/11/13,,2963067.0,2367955.0,0.26
1532,勤美,114,Q2,114/11/13,,6062350.0,4648084.0,0.13
1533,車王電,114,Q3,114/11/13,,2800164.0,1970013.0,0.14
1533,車王電,114,Q1,114/11/13,,791127.0,551750.0,0.21
1533,車王電,114,Q2,114/11/13,,1729269.0,1186703.0,0.61
1535,中宇,114,Q3,114/11/13,,8678854.0,7936515.0,2.79
1535,中宇,114,Q2,114/11/13,,5539453.0,5038762.0,1.87
1535,中宇,114,Q1,114/11/13,,2469799.0,2221457.0,0.88
1536,和大,114,Q3,114/11/13,,3559162.0,3379255.0,2.05
1536,和大,114,Q2,114/11/13,,2365285.0,2233548.0,1.91
1536,和大,114,Q1,114/11/13,,1234196.0,1148721.0,0.37
1537,廣隆,114,Q2,114/11/13,,3414045.0,2670024.0,3.7
1537,廣隆,114,Q3,114/11/13,,5017791.0,3969861.0,5.76
1537,廣隆,114,Q1,114/11/13,,1750132.0,1365840.0,2.46
1538,正峰,114,Q1,114/11/13,,30620.0,23770.0,0.58
1538,正峰,114,Q3,114/11/13,,92571.0,73269.0,0.36
1538,正峰,114,Q2,114/11/13,,60901.0,49478.0,0.46
1539,巨庭,114,Q1,114/11/13,,356799.0,317968.0,0.25
1539,巨庭,114,Q3,114/11/13,,1048005.0,947469.0,0.08
1539,巨庭,114,Q2,114/11/13,,723146.0,652529.0,0.42
1540,喬福,114,Q2,114/11/13,,290359.0,177147.0,0.13
1540,喬福,114,Q1,114/11/13,,129829.0,79555.0,0.5
1540,喬福,114,Q3,114/11/13,,404812.0,271453.0,0.54
1541,錩泰,114,Q1,114/11/13,,847635.0,679512.0,0.53
1541,錩泰,114,Q2,114/11/13,,1943237.0,1565791.0,0.21
1541,錩泰,114,Q3,114/11/13,,2881206.0,2360202.0,1.32
1558,伸興,114,Q3,114/11/13,,6472831.0,4753160.0,4.27
1558,伸興,114,Q2,114/11/13,,4224322.0,3120717.0,2.02
1558,伸興,114,Q1,114/11/13,,2044322.0,1526941.0,1.25
1560,中砂,114,Q1,114/11/13,,1771627.0,1224041.0,1.96
1560,中砂,114,Q3,114/11/13,,5977667.0,4073049.0,6.02
1560,中砂,114,Q2,114/11/13,,3886390.0,2659081.0,3.78
1563,巧新,114,Q1,114/11/13,,1918240.0,1372988.0,1.53
1563,巧新,114,Q3,114/11/13,,5334743.0,4151334.0,1.47
1563,巧新,114,Q2,114/11/13,,3633072.0,2748306.0,1.28
1565,精華,114,Q3,114/11/13,,3174384.0,2396087.0,6.69
1565,精華,114,Q1,114/11/13,,1110980.0,844013.0,3.43
1565,精華,114,Q2,114/11/13,,2168500.0,1641554.0,4.0
1568,倉佑,114,Q2,114/11/13,,542499.0,360029.0,0.54
1568,倉佑,114,Q3,114/11/13,,792323.0,541111.0,0.88
1568,倉佑,114,Q1,114/11/13,,284457.0,186620.0,0.53
1569,濱川,114,Q1,114/11/13,,817948.0,807742.0,1.33
1569,濱川,114,Q2,114/11/13,,1688940.0,1676178.0,3.61
1570,力肯,114,Q1,114/11/13,,121078.0,79810.0,0.43
1570,力肯,114,Q2,114/11/13,,281120.0,196969.0,0.43
1580,新麥,114,Q1,114/11/13,,1089039.0,604061.0,2.7
1580,新麥,114,Q2,114/11/13,,2338679.0,1336990.0,5.69
1582,信錦,114,Q1,114/11/13,,2243198.0,1651819.0,1.05
1582,信錦,114,Q2,114/11/13,,4397519.0,3303956.0,1.89
1582,信錦,114,Q3,114/11/13,,6564174.0,4966768.0,2.98
1583,程泰,114,Q2,114/11/13,,1879731.0,1546735.0,8.63
