代號,名稱,年度,季別,出表日期,本期淨利（淨損）,淨利（損）歸屬於母公司業主,營業收入,營業成本,基本每股盈餘（元）
1409,新纖,111,Q4,114/10/29,3620488.0,2823787.0,,,1.75
1409,新纖,111,Q1,114/10/29,1125587.0,878261.0,,,0.54
1410,南染,111,Q4,114/10/29,55980.0,56582.0,395971.0,263032.0,0.9
1410,南染,111,Q3,114/10/29,39778.0,39343.0,292471.0,200114.0,0.62
1410,南染,111,Q1,114/10/29,8688.0,8371.0,88000.0,62574.0,0.13
1410,南染,111,Q2,114/10/29,23541.0,23377.0,202327.0,138168.0,0.37
1413,宏洲,111,Q3,114/10/29,105444.0,,2501058.0,2303594.0,0.8
1413,宏洲,111,Q4,114/10/29,99041.0,,3145933.0,2937786.0,0.75
1413,宏洲,111,Q1,114/10/29,45466.0,,888266.0,812938.0,0.34
1413,宏洲,111,Q2,114/10/29,112087.0,,1776792.0,1604152.0,0.85
1414,東和,111,Q4,114/10/29,104362.0,,688943.0,523144.0,0.47
1414,東和,111,Q2,114/10/29,69160.0,,386509.0,278905.0,0.31
1414,東和,111,Q3,114/10/29,112023.0,,547922.0,389072.0,0.51
1414,東和,111,Q1,114/10/29,23446.0,,185455.0,140201.0,0.11
1416,廣豐,111,Q2,114/10/29,28366.0,31373.0,132281.0,104467.0,0.17
1416,廣豐,111,Q1,114/10/29,-36291.0,-34432.0,55420.0,42625.0,-0.19
1416,廣豐,111,Q3,114/10/29,103633.0,102756.0,197076.0,141351.0,0.55
1416,廣豐,111,Q4,114/10/29,96256.0,94462.0,249391.0,182848.0,0.51
1417,嘉裕,111,Q1,114/10/29,8056.0,8056.0,403375.0,243703.0,0.04
1417,嘉裕,111,Q3,114/10/29,60376.0,60376.0,1103972.0,702424.0,0.32
1417,嘉裕,111,Q2,114/10/29,10367.0,10367.0,712275.0,449938.0,0.05
1417,嘉裕,111,Q4,114/10/29,106351.0,106351.0,1511442.0,1075305.0,0.56
1418,東華,111,Q2,114/10/29,-54947.0,-54944.0,9641.0,15371.0,-1.01
1418,東華,111,Q3,114/10/29,-81267.0,-81262.0,11660.0,19885.0,-1.5
1418,東華,111,Q4,114/10/29,21810.0,21817.0,20754.0,27919.0,0.4
1418,東華,111,Q1,114/10/29,-27316.0,-27315.0,5195.0,8657.0,-0.5
1419,新紡,111,Q2,114/10/29,1707946.0,1707946.0,1463020.0,1067869.0,5.71
1419,新紡,111,Q3,114/10/29,1971919.0,1971919.0,2395315.0,1757415.0,6.59
1419,新紡,111,Q4,114/10/29,2070986.0,2070986.0,3349289.0,2431251.0,6.92
1419,新紡,111,Q1,114/10/29,1425894.0,1425894.0,749379.0,561889.0,4.77
1423,利華,111,Q1,114/10/29,25612.0,,60492.0,42617.0,0.19
1423,利華,111,Q4,114/10/29,73350.0,,175942.0,177375.0,0.53
1423,利華,111,Q3,114/10/29,59805.0,,136226.0,153385.0,0.43
1423,利華,111,Q2,114/10/29,40427.0,,102127.0,83656.0,0.29
1432,大魯閣,111,Q1,114/10/29,1198.0,1121.0,262927.0,155974.0,0.01
1432,大魯閣,111,Q3,114/10/29,-31911.0,-27483.0,815286.0,481123.0,-0.31
1432,大魯閣,111,Q4,114/10/29,-36918.0,-31160.0,1106827.0,686247.0,-0.35
1432,大魯閣,111,Q2,114/10/29,-70508.0,-67009.0,487611.0,314351.0,-0.76
1434,福懋,111,Q1,114/10/29,557205.0,557205.0,8913782.0,7888485.0,0.33
1434,福懋,111,Q3,114/10/29,3177834.0,3177834.0,26945284.0,24071402.0,1.89
1434,福懋,111,Q4,114/10/29,3404981.0,3404981.0,34722655.0,30953904.0,2.02
1434,福懋,111,Q2,114/10/29,2591725.0,2591725.0,18195453.0,16188448.0,1.54
1435,中福,111,Q3,114/10/29,59030.0,59030.0,10291.0,1087.0,0.42
1435,中福,111,Q1,114/10/29,125289.0,125289.0,3483.0,189.0,0.9
1435,中福,111,Q2,114/10/29,189727.0,189727.0,7110.0,836.0,1.36
1435,中福,111,Q4,114/10/29,-230650.0,-230650.0,13097.0,1339.0,-1.65
1436,華友聯,111,Q1,114/10/29,-47056.0,-47056.0,5227.0,3914.0,-0.49
1436,華友聯,111,Q4,114/10/29,630641.0,630641.0,3939725.0,2676245.0,6.54
1436,華友聯,111,Q3,114/10/29,537422.0,537422.0,3243015.0,2228306.0,5.58
1436,華友聯,111,Q2,114/10/29,49546.0,49546.0,783632.0,554694.0,0.52
1437,勤益控,111,Q3,114/10/29,291636.0,292696.0,605760.0,228540.0,1.44
1437,勤益控,111,Q2,114/10/29,176695.0,177024.0,353118.0,132251.0,0.87
1437,勤益控,111,Q1,114/10/29,83671.0,83650.0,181015.0,61726.0,0.41
1437,勤益控,111,Q4,114/10/29,406767.0,407483.0,801868.0,315712.0,2.0
1438,三地開發,111,Q4,114/10/29,373549.0,,595265.0,147124.0,5.17
1438,三地開發,111,Q3,114/10/29,378540.0,,455715.0,24419.0,5.32
1438,三地開發,111,Q2,114/10/29,400611.0,,455714.0,24419.0,5.63
1438,三地開發,111,Q1,114/10/29,1126.0,,15.0,35.0,0.02
1439,雋揚,111,Q4,114/10/29,143592.0,92205.0,570153.0,446013.0,1.14
1439,雋揚,111,Q1,114/10/29,28669.0,28669.0,11959.0,11880.0,0.31
1439,雋揚,111,Q3,114/10/29,151817.0,105921.0,455448.0,358032.0,1.29
1439,雋揚,111,Q2,114/10/29,49460.0,49460.0,16232.0,16112.0,0.54
1440,南紡,111,Q1,114/10/29,767908.0,758235.0,5790996.0,4599472.0,0.46
1440,南紡,111,Q3,114/10/29,1498974.0,1472932.0,16497242.0,13938166.0,0.89
1440,南紡,111,Q4,114/10/29,1191758.0,1157904.0,21968232.0,19556386.0,0.7
1440,南紡,111,Q2,114/10/29,1196806.0,1176652.0,11390253.0,9246753.0,0.71
