代號,名稱,年度,季別,股東會日期,股利所屬期間,決議（擬議）進度,股東配發-盈餘分配之現金股利(元/股),股東配發-法定盈餘公積發放之現金(元/股),股東配發-資本公積發放之現金(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-法定盈餘公積轉增資配股(元/股),股東配發-資本公積轉增資配股(元/股),股東配發-股東配股總股數(股)
1336,台翰,113,Y1,不適用,113/01/01~113/12/31,董事會決議,0.945,0.0,0.0,73319553,0.0,0.0,0.0,0
1337,再生-KY,113,Y1,114/06/13,113/01/01~113/12/31,股東會確認,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1338,廣華-KY,113,Y1,114/05/23,113/01/01~113/12/31,股東會確認,0.75,0.0,0.0,62880000,0.0,0.0,0.0,0
1339,昭輝,113,Y1,不適用,113/01/01~113/12/31,董事會決議,3.0,0.0,0.0,222371625,0.0,0.0,0.0,0
1340,勝悅-KY,113,Y1,114/06/16,113/01/01~113/12/31,股東會確認,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1341,富林-KY,113,Q4,不適用,113/10/01~113/12/31,董事會決議,4.2,0.0,1.0,274823297,0.0,0.0,0.0,0
1341,富林-KY,113,Q3,不適用,113/07/01~113/09/30,董事會決議,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1341,富林-KY,113,Q2,不適用,113/04/01~113/06/30,董事會決議,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1341,富林-KY,113,Q1,不適用,113/01/01~113/03/31,董事會決議,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1342,八貫,113,Y1,不適用,113/01/01~113/12/31,董事會決議,4.79290281,0.0,0.0,376795296,0.0,0.0,0.0,0
1402,遠東新,113,Y1,114/05/29,113/01/01~113/12/31,股東會確認,1.6,0.0,0.0,8564600363,0.0,0.0,0.0,0
1409,新纖,113,Y1,不適用,113/01/01~113/12/31,董事會決議,0.6,0.0,0.0,971045572,0.0,0.0,0.0,0
1410,南染,113,Y1,不適用,113/01/01~113/12/31,董事會決議,0.5,0.0,0.0,31500000,0.0,0.0,0.0,0
1413,宏洲,113,Y1,不適用,113/01/01~113/12/31,董事會決議,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1414,東和,113,Y1,不適用,113/01/01~113/12/31,董事會決議,0.23,0.0,0.0,50600000,0.0,0.0,0.0,0
1416,廣豐,113,Y1,114/05/22,113/01/01~113/12/31,股東會確認,0.56,0.0,0.0,103791614,0.0,0.0,0.0,0
1417,嘉裕,113,Y1,114/05/22,113/01/01~113/12/31,股東會確認,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1418,東華,113,Y1,114/06/10,113/01/01~113/12/31,股東會確認,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1419,新紡,113,Y1,不適用,113/01/01~113/12/31,董事會決議,1.5,0.0,0.0,450061920,0.0,0.0,0.0,0
1423,利華,113,Y1,不適用,113/01/01~113/12/31,董事會決議,0.8,0.0,0.0,79718400,0.0,0.0,0.0,0
