代號,名稱,年度,季別,股東會日期,股利所屬期間,決議（擬議）進度,股東配發-盈餘分配之現金股利(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-股東配股總股數(股)
4555,氣立,107,Y1,108/06/25,107/01/01~107/12/31,股東會確認,2.0,133760000.0,0.0,0.0
4555,氣立,107,Y1,108/06/25,107/01/01~107/12/31,股東會確認,2.0,133760000.0,0.0,0.0
4555,氣立,107,Y1,108/06/25,107/01/01~107/12/31,股東會確認,2.0,133760000.0,0.0,0.0
4555,氣立,107,Y1,108/06/25,107/01/01~107/12/31,股東會確認,2.0,133760000.0,0.0,0.0
4556,旭然,107,Y1,108/06/17,107/01/01~107/12/31,股東會確認,1.25,52160000.0,0.0,0.0
4556,旭然,107,Y1,108/06/17,107/01/01~107/12/31,股東會確認,1.25,52160000.0,0.0,0.0
4556,旭然,107,Y1,108/06/17,107/01/01~107/12/31,股東會確認,1.25,52160000.0,0.0,0.0
4556,旭然,107,Y1,108/06/17,107/01/01~107/12/31,股東會確認,1.25,52160000.0,0.0,0.0
4557,永新-KY,107,Y1,108/06/06,107/01/01~107/12/31,股東會確認,5.0,173040000.0,0.0,0.0
4557,永新-KY,107,Y1,108/06/06,107/01/01~107/12/31,股東會確認,5.0,173040000.0,0.0,0.0
4557,永新-KY,107,Y1,108/06/06,107/01/01~107/12/31,股東會確認,5.0,173040000.0,0.0,0.0
4557,永新-KY,107,Y1,108/06/06,107/01/01~107/12/31,股東會確認,5.0,173040000.0,0.0,0.0
4558,寶緯,107,Y1,108/06/14,107/01/01~107/12/31,股東會確認,1.0,44100000.0,0.0,0.0
4558,寶緯,107,Y1,108/06/14,107/01/01~107/12/31,股東會確認,1.0,44100000.0,0.0,0.0
4558,寶緯,107,Y1,108/06/14,107/01/01~107/12/31,股東會確認,1.0,44100000.0,0.0,0.0
4558,寶緯,107,Y1,108/06/14,107/01/01~107/12/31,股東會確認,1.0,44100000.0,0.0,0.0
4560,強信-KY,107,Y1,108/06/06,107/01/01~107/12/31,股東會確認,2.8,231528994.0,0.0,0.0
4560,強信-KY,107,Y1,108/06/06,107/01/01~107/12/31,股東會確認,2.8,231528994.0,0.0,0.0
4560,強信-KY,107,Y1,108/06/06,107/01/01~107/12/31,股東會確認,2.8,231528994.0,0.0,0.0
4560,強信-KY,107,Y1,108/06/06,107/01/01~107/12/31,股東會確認,2.8,231528994.0,0.0,0.0
4561,健椿,107,Y1,108/06/26,107/01/01~107/12/31,股東會確認,1.0,58521619.0,0.0,0.0
4561,健椿,107,Y1,108/06/26,107/01/01~107/12/31,股東會確認,1.0,58521619.0,0.0,0.0
4561,健椿,107,Y1,108/06/26,107/01/01~107/12/31,股東會確認,1.0,58521619.0,0.0,0.0
4561,健椿,107,Y1,108/06/26,107/01/01~107/12/31,股東會確認,1.0,58521619.0,0.0,0.0
4562,穎漢,107,Y1,108/06/18,107/01/01~107/12/31,股東會確認,1.5,101319000.0,0.0,0.0
4562,穎漢,107,Y1,108/06/18,107/01/01~107/12/31,股東會確認,1.5,101319000.0,0.0,0.0
4562,穎漢,107,Y1,108/06/18,107/01/01~107/12/31,股東會確認,1.5,101319000.0,0.0,0.0
4562,穎漢,107,Y1,108/06/18,107/01/01~107/12/31,股東會確認,1.5,101319000.0,0.0,0.0
4563,百德,107,Y1,108/06/14,107/01/01~107/12/31,股東會確認,2.5,119850000.0,0.0,0.0
4563,百德,107,Y1,108/06/14,107/01/01~107/12/31,股東會確認,2.5,119850000.0,0.0,0.0
4563,百德,107,Y1,108/06/14,107/01/01~107/12/31,股東會確認,2.5,119850000.0,0.0,0.0
4563,百德,107,Y1,108/06/14,107/01/01~107/12/31,股東會確認,2.5,119850000.0,0.0,0.0
4564,元翎,107,Y1,108/06/25,107/01/01~107/12/31,股東會確認,2.5,444466383.0,0.0,0.0
4564,元翎,107,Y1,108/06/25,107/01/01~107/12/31,股東會確認,2.5,444466383.0,0.0,0.0
4564,元翎,107,Y1,108/06/25,107/01/01~107/12/31,股東會確認,2.5,444466383.0,0.0,0.0
4564,元翎,107,Y1,108/06/25,107/01/01~107/12/31,股東會確認,2.5,444466383.0,0.0,0.0
4566,時碩工業,107,Y1,108/06/28,107/01/01~107/12/31,股東會確認,2.0,132519000.0,0.0,0.0
4566,時碩工業,107,Y1,108/06/28,107/01/01~107/12/31,股東會確認,2.0,132519000.0,0.0,0.0
4566,時碩工業,107,Y1,108/06/28,107/01/01~107/12/31,股東會確認,2.0,132519000.0,0.0,0.0
4566,時碩工業,107,Y1,108/06/28,107/01/01~107/12/31,股東會確認,2.0,132519000.0,0.0,0.0
4568,科際精密,107,Y1,108/06/24,107/01/01~107/12/31,股東會確認,4.5,135810000.0,0.0,0.0
4568,科際精密,107,Y1,108/06/24,107/01/01~107/12/31,股東會確認,4.5,135810000.0,0.0,0.0
4568,科際精密,107,Y1,108/06/24,107/01/01~107/12/31,股東會確認,4.5,135810000.0,0.0,0.0
4568,科際精密,107,Y1,108/06/24,107/01/01~107/12/31,股東會確認,4.5,135810000.0,0.0,0.0
4571,鈞興-KY,107,Y1,108/04/03,107/01/01~107/12/31,股東會確認,1.1,46000000.0,0.0,0.0
4571,鈞興-KY,107,Y1,108/04/03,107/01/01~107/12/31,股東會確認,1.1,46000000.0,0.0,0.0
4571,鈞興-KY,107,Y1,108/04/03,107/01/01~107/12/31,股東會確認,1.1,46000000.0,0.0,0.0
4571,鈞興-KY,107,Y1,108/04/03,107/01/01~107/12/31,股東會確認,1.1,46000000.0,0.0,0.0
4572,駐龍,107,Y1,108/06/27,107/01/01~107/12/31,股東會確認,3.23333334,105000000.0,0.5,1500000.0
4572,駐龍,107,Y1,108/06/27,107/01/01~107/12/31,股東會確認,3.23333334,105000000.0,0.5,1500000.0
4572,駐龍,107,Y1,108/06/27,107/01/01~107/12/31,股東會確認,3.23333334,105000000.0,0.5,1500000.0
4572,駐龍,107,Y1,108/06/27,107/01/01~107/12/31,股東會確認,3.23333334,105000000.0,0.5,1500000.0
4576,大銀微系統,107,Y1,108/06/27,107/01/01~107/12/31,股東會確認,0.8,85126593.0,0.0,0.0
