stock_code,stock_name,price,market,date,updated_at
009804,聯邦台精彩50,21.25,TSE,2026-07-24,2026-07-25 19:05:03
009805,台新美國電力基建,16.44,TSE,2026-07-24,2026-07-25 19:05:03
009808,華南永昌優選50,30.0,TSE,2026-07-24,2026-07-25 19:05:03
009809,富邦淨零ESG50,17.2,TSE,2026-07-24,2026-07-25 19:05:03
00980A,主動野村臺灣優選,22.25,TSE,2026-07-24,2026-07-25 19:05:03
009810,玉山全球藍籌100,20.65,TSE,2026-07-24,2026-07-25 19:05:03
009811,統一美國50,12.89,TSE,2026-07-24,2026-07-25 19:05:03
009812,野村日本東證,12.37,TSE,2026-07-24,2026-07-25 19:05:03
009813,貝萊德標普卓越50,11.03,TSE,2026-07-24,2026-07-25 19:05:03
009816,凱基台灣TOP50,14.72,TSE,2026-07-24,2026-07-25 19:05:03
009817,國泰日本不動產,9.17,TSE,2026-07-24,2026-07-25 19:05:03
009818,華南永昌NASDAQxT,19.62,TSE,2026-07-24,2026-07-25 19:05:03
009819,中信數據及電力,10.04,TSE,2026-07-24,2026-07-25 19:05:03
00981A,主動統一台股增長,27.54,TSE,2026-07-24,2026-07-25 19:05:03
00981T,平衡凱基雙核收息,11.92,TSE,2026-07-24,2026-07-25 19:05:03
009820,元大納斯達克精選,9.87,TSE,2026-07-24,2026-07-25 19:05:03
009821,野村稀土關鍵資源,12.97,TSE,2026-07-24,2026-07-25 19:05:03
009824,群益美國科技巨頭,10.03,TSE,2026-07-24,2026-07-25 19:05:03
00982A,主動群益台灣強棒,21.98,TSE,2026-07-24,2026-07-25 19:05:03
00982D,主動富邦動態入息,9.85,TSE,2026-07-24,2026-07-25 19:05:03
00982T,平衡兆豐台美動能,14.87,TSE,2026-07-24,2026-07-25 19:05:03
00983A,主動中信ARK創新,11.36,TSE,2026-07-24,2026-07-25 19:05:03
00983D,主動富邦複合收益,10.1,TSE,2026-07-24,2026-07-25 19:05:03
