代號,名稱,年度,季別,歸屬於母公司業主之權益合計,不動產及設備－淨額,無形資產－淨額,流動資產,資產總額,流動負債,非流動負債,非控制權益,每股參考淨值
1467,南緯,114,Q1,2972046.0,,,4749398.0,,3545519.0,2242103.0,104700.0,12.72
1468,昶和,114,Q3,1343494.0,,,1882812.0,,1247428.0,412553.0,77801.0,8.38
1468,昶和,114,Q2,1275662.0,,,1687161.0,,1130163.0,412553.0,76111.0,7.95
1468,昶和,114,Q1,1426223.0,,,1655514.0,,950870.0,412574.0,82842.0,8.89
1470,大統新創,114,Q2,953907.0,,,648891.0,,237015.0,7654.0,,11.12
1470,大統新創,114,Q1,967802.0,,,675193.0,,246174.0,9771.0,,11.28
1471,首利,114,Q3,1429106.0,,,1342325.0,,84412.0,37919.0,93130.0,9.5
1471,首利,114,Q1,1491582.0,,,1419681.0,,96226.0,41387.0,77265.0,9.92
1471,首利,114,Q2,1432540.0,,,1345493.0,,102459.0,37477.0,80006.0,9.52
1472,三洋實業,114,Q1,2184336.0,,,3692151.0,,2181471.0,288070.0,,41.62
1472,三洋實業,114,Q2,2149088.0,,,4697873.0,,2589899.0,931959.0,,40.94
1473,台南,114,Q3,3747277.0,,,2746362.0,,1099450.0,253072.0,,25.64
1473,台南,114,Q1,4364610.0,,,3971439.0,,1697386.0,226851.0,,29.86
1473,台南,114,Q2,3664537.0,,,2969733.0,,1237817.0,211782.0,,25.07
1474,弘裕,114,Q2,2008444.0,,,2094309.0,,977116.0,656186.0,32667.0,15.46
1474,弘裕,114,Q1,2198531.0,,,2299909.0,,1049589.0,672449.0,35066.0,16.93
1475,業旺,114,Q2,1362255.0,,,1888289.0,,591125.0,145867.0,,20.63
1475,業旺,114,Q1,1676489.0,,,2166771.0,,542797.0,149076.0,,25.39
1476,儒鴻,114,Q1,26012938.0,,,23007234.0,,11154379.0,178272.0,,94.81
1476,儒鴻,114,Q3,27761239.0,,,19735941.0,,5426802.0,176732.0,,101.18
1476,儒鴻,114,Q2,25816377.0,,,22739057.0,,10298101.0,172348.0,,94.09
1477,聚陽,114,Q2,13425287.0,,,14973272.0,,7944304.0,474450.0,103949.0,54.42
1477,聚陽,114,Q3,12997610.0,,,14400014.0,,7949673.0,975738.0,116881.0,52.69
1477,聚陽,114,Q1,13489833.0,,,17083542.0,,10428128.0,531181.0,83182.0,54.68
1503,士電,114,Q1,37119149.0,,,25970862.0,,16652978.0,2660116.0,839797.0,71.25
1503,士電,114,Q2,36114020.0,,,26927224.0,,19703559.0,2466664.0,793266.0,69.32
1504,東元,114,Q2,68889550.0,,,57357042.0,,32461233.0,15319476.0,6126351.0,32.74
1504,東元,114,Q1,72403091.0,,,59922347.0,,33020480.0,16319699.0,6341842.0,34.36
1506,正道,114,Q2,2729055.0,,,906042.0,,303874.0,85708.0,70445.0,9.09
1506,正道,114,Q1,2822150.0,,,1029735.0,,233844.0,86413.0,74710.0,9.4
1512,瑞利,114,Q1,657701.0,,,953600.0,,348512.0,1608819.0,,6.7
1512,瑞利,114,Q2,598768.0,,,954810.0,,340325.0,1651448.0,,6.1
1513,中興電,114,Q1,19326314.0,,,23529042.0,,16905703.0,12195312.0,209976.0,39.12
1513,中興電,114,Q3,19647044.0,,,23377256.0,,20643160.0,7915892.0,199712.0,39.77
1513,中興電,114,Q2,18636803.0,,,22949886.0,,18942742.0,10469011.0,193690.0,37.72
1514,亞力,114,Q3,6004446.0,,,10481843.0,,5853597.0,1441398.0,68484.0,22.17
1514,亞力,114,Q2,5750876.0,,,10067333.0,,5652269.0,1435518.0,63827.0,21.66
1514,亞力,114,Q1,6048809.0,,,8692065.0,,3926014.0,1438067.0,108702.0,22.78
1515,力山,114,Q2,3637378.0,,,3245679.0,,3440923.0,232172.0,25820.0,20.04
