代號,名稱,年度,季別,現金股利,股東會日期,股利所屬期間,決議（擬議）進度,股東配發-盈餘分配之現金股利(元/股),股東配發-盈餘轉增資配股(元/股),股東配發-股東配股總股數(股)
1310,台苯,106,Y1,1.6,107/06/26,106/01/01~106/12/31,股東會確認,1.6,0.0,0
1312,國喬,106,Y1,1.0,107/06/15,106/01/01~106/12/31,股東會確認,1.0,0.0,0
1312A,國喬特,106,Y1,1.6,107/06/15,106/01/01~106/12/31,股東會確認,1.6,0.0,0
1313,聯成,106,Y1,1.0,107/06/08,106/01/01~106/12/31,股東會確認,1.0,0.8,94364565
1314,中石化,106,Y1,0.0,107/04/11,106/01/01~106/12/31,股東會確認,0.0,0.0,0
1315,達新,106,Y1,1.1,107/06/08,106/01/01~106/12/31,股東會確認,1.1,0.0,0
1316,上曜,106,Y1,1.4,107/06/26,106/01/01~106/12/31,股東會確認,1.4,0.0,0
1319,東陽,106,Y1,2.05,107/06/20,106/01/01~106/12/31,股東會確認,2.05,0.0,0
1321,大洋,106,Y1,0.0,107/06/29,106/01/01~106/12/31,股東會確認,0.0,0.0,0
1323,永裕,106,Y1,1.3,107/06/20,106/01/01~106/12/31,股東會確認,1.3,0.0,0
1324,地球,106,Y1,0.3,107/05/29,106/01/01~106/12/31,股東會確認,0.3,0.0,0
1325,恆大,106,Y1,0.35,107/06/29,106/01/01~106/12/31,股東會確認,0.35,0.0,0
1326,台化,106,Y1,7.0,107/06/15,106/01/01~106/12/31,股東會確認,7.0,0.0,0
1336,台翰,106,Y1,0.0,107/06/13,106/01/01~106/12/31,股東會確認,0.0,0.0,0
1337,再生-KY,106,Y1,0.0028905,107/06/11,106/01/01~106/12/31,股東會確認,0.0028905,0.02601435,696602
1338,廣華-KY,106,Y1,5.0,107/05/30,106/01/01~106/12/31,股東會確認,5.0,0.0,0
1339,昭輝,106,Y1,2.0,107/05/28,106/01/01~106/12/31,股東會確認,2.0,0.0,0
1340,勝悅-KY,106,Y1,0.3,107/06/12,106/01/01~106/12/31,股東會確認,0.3,1.0,12638253
1341,富林-KY,106,Y1,0.0,107/06/16,106/01/01~106/12/31,股東會確認,0.0,0.0,0
1342,八貫,106,Y1,0.8333,107/05/11,106/01/01~106/12/31,股東會確認,0.8333,1.6666,6000000
1402,遠東新,106,Y1,1.2,107/06/29,106/01/01~106/12/31,股東會確認,1.2,0.0,0
1409,新纖,106,Y1,0.5,107/05/29,106/01/01~106/12/31,股東會確認,0.5,0.0,0
1410,南染,106,Y1,1.4,107/06/15,106/01/01~106/12/31,股東會確認,1.4,0.0,0
1413,宏洲,106,Y1,0.0,107/05/30,106/01/01~106/12/31,股東會確認,0.0,0.0,0
1414,東和,106,Y1,0.32,107/06/11,106/01/01~106/12/31,股東會確認,0.32,0.0,0
1416,廣豐,106,Y1,1.2,107/06/29,106/01/01~106/12/31,股東會確認,1.2,0.0,0
1417,嘉裕,106,Y1,0.0,107/06/20,106/01/01~106/12/31,股東會確認,0.0,0.0,0
1418,東華,106,Y1,0.0,107/06/20,106/01/01~106/12/31,股東會確認,0.0,0.0,0
1419,新紡,106,Y1,3.72611177,107/05/30,106/01/01~106/12/31,股東會確認,3.72611177,0.0,0
1423,利華,106,Y1,0.0,107/06/21,106/01/01~106/12/31,股東會確認,0.0,0.0,0
1432,大魯閣,106,Y1,0.0,107/06/22,106/01/01~106/12/31,股東會確認,0.0,0.0,0
1434,福懋,106,Y1,1.9,107/06/22,106/01/01~106/12/31,股東會確認,1.9,0.0,0
1435,中福,106,Y1,0.0,107/06/21,106/01/01~106/12/31,股東會確認,0.0,0.0,0
1436,華友聯,106,Y1,2.5,107/06/21,106/01/01~106/12/31,股東會確認,2.5,0.5,3795000
1437,勤益控,106,Y1,0.5,107/06/12,106/01/01~106/12/31,股東會確認,0.5,0.5,9684347
1438,三地開發,106,Y1,0.0,107/06/27,106/01/01~106/12/31,股東會確認,0.0,0.0,0
1439,雋揚,106,Y1,0.0,107/06/08,106/01/01~106/12/31,股東會確認,0.0,0.0,0
1440,南紡,106,Y1,0.36,107/06/22,106/01/01~106/12/31,股東會確認,0.36,0.0,0
1441,大東,106,Y1,0.0,107/06/13,106/01/01~106/12/31,股東會確認,0.0,0.0,0
1442,名軒,106,Y1,1.8,107/06/15,106/01/01~106/12/31,股東會確認,1.8,0.0,0
