代號,名稱,年度,季別,出表日期,淨利（損）歸屬於母公司業主,營業收入,營業成本,基本每股盈餘（元）
1465,偉全,107,Q1,114/10/29,,366837.0,343357.0,0.12
1466,聚隆,107,Q1,114/10/29,,956450.0,902259.0,0.11
1466,聚隆,107,Q3,114/10/29,,3155471.0,3036125.0,0.61
1466,聚隆,107,Q4,114/10/29,,4106559.0,3967842.0,0.94
1466,聚隆,107,Q2,114/10/29,,1982208.0,1887801.0,0.29
1467,南緯,107,Q3,114/10/29,,5402071.0,4472314.0,0.63
1467,南緯,107,Q2,114/10/29,,3299604.0,2746527.0,0.66
1467,南緯,107,Q4,114/10/29,,7417890.0,6103195.0,0.29
1467,南緯,107,Q1,114/10/29,,1404117.0,1186340.0,0.69
1468,昶和,107,Q2,114/10/29,,459720.0,368627.0,0.11
1468,昶和,107,Q1,114/10/29,,170630.0,143022.0,0.1
1468,昶和,107,Q4,114/10/29,,921039.0,782171.0,0.24
1468,昶和,107,Q3,114/10/29,,692256.0,576944.0,0.25
1470,大統新創,107,Q3,114/10/29,,563486.0,443175.0,0.37
