代號,名稱,年度,季別,營業活動之淨現金流入（流出）
6771,平和環保-創,109,Q2,36315.00
6776,展�眥篕�,109,Q3,357615.00
6776,展�眥篕�,109,Q4,405236.00
6776,展�眥篕�,109,Q2,337184.00
6781,AES-KY,109,Q4,540520.00
6782,視陽,109,Q4,280586.00
6782,視陽,109,Q2,145212.00
6785,昱展新藥,109,Q4,-141922.00
6785,昱展新藥,109,Q2,-73856.00
6788,華景電,109,Q4,245868.00
6788,華景電,109,Q2,129066.00
6789,采鈺,109,Q4,3370563.00
6789,采鈺,109,Q2,1580191.00
6790,永豐實,109,Q2,1102513.00
6790,永豐實,109,Q4,2108283.00
6791,虎門科技,109,Q2,12211.00
6791,虎門科技,109,Q4,68314.00
6792,詠業,109,Q2,103393.00
6792,詠業,109,Q4,191370.00
6794,向榮生技,109,Q2,-51969.00
6794,向榮生技,109,Q4,-92158.00
6796,晉弘,109,Q4,55815.00
6799,來頡,109,Q2,24428.00
6799,來頡,109,Q4,128840.00
6803,崑鼎,109,Q3,139220.00
6803,崑鼎,109,Q4,290747.00
6803,崑鼎,109,Q2,-1022271.00
6803,崑鼎,109,Q1,265147.00
6804,明係,109,Q2,57557.00
6804,明係,109,Q4,47051.00
6805,富世達,109,Q2,371551.00
6805,富世達,109,Q4,-246258.00
6806,森崴能源,109,Q2,3138.00
6806,森崴能源,109,Q4,262450.00
6807,峰源-KY,109,Q4,-168465.00
6811,宏�硌穈T,109,Q2,145038.00
6811,宏�硌穈T,109,Q4,812636.00
6821,聯寶,109,Q4,48324.00
6821,聯寶,109,Q2,34879.00
6823,濾能,109,Q4,44712.00
6829,千附精密,109,Q4,27622.00
6830,汎銓,109,Q4,476319.00
6834,天二科技,109,Q4,12930.00
6835,圓裕,109,Q4,182193.00
6838,台新藥,109,Q4,-175745.00
6840,東研信超,109,Q4,197271.00
6841,長佳智能,109,Q4,-39191.00
6843,進典,109,Q4,146363.00
6844,諾貝兒,109,Q4,457205.00
6854,錼創科技-KY創,109,Q4,-558602.00
6855,數泓科,109,Q4,65464.00
6856,鑫傳,109,Q4,137715.00
6859,伯特光,109,Q4,308530.00
6861,睿生光電,109,Q4,440780.00
6865,偉康科技,109,Q4,42797.00
6869,雲豹能源,109,Q4,-48364.00
6870,騰雲,109,Q4,-46542.00
6872,浩宇生醫,109,Q4,-55246.00
6873,泓德能源,109,Q4,418158.00
6874,倍力,109,Q4,-57310.00
6875,國邑*,109,Q4,-181450.00
6877,鏵友益,109,Q4,70953.00
6885,全福生技,109,Q4,-127117.00
6899,創為精密,109,Q4,104447.00
6909,創控,109,Q4,17111.00
6928,攸泰科技,109,Q4,11740.00
6931,青松健康,109,Q4,6975.00
6936,永鴻生技,109,Q4,120466.00
7402,邑錡,109,Q2,283.00
7402,邑錡,109,Q4,56135.00
7402,邑錡,109,Q3,36473.00
7402,邑錡,109,Q1,12263.00
7547,碩網,109,Q4,8130.00
7547,碩網,109,Q2,12045.00
7556,意德士科技,109,Q2,40338.00
7556,意德士科技,109,Q3,58346.00
7556,意德士科技,109,Q1,23662.00
7556,意德士科技,109,Q4,76780.00
7584,樂意,109,Q4,146547.00
8011,台通,109,Q1,44482.00
8011,台通,109,Q4,290108.00
8011,台通,109,Q2,-3036.00
8011,台通,109,Q3,221239.00
8016,矽創,109,Q3,1516538.00
8016,矽創,109,Q1,160420.00
8016,矽創,109,Q4,3041474.00
8016,矽創,109,Q2,-138390.00
8021,尖點,109,Q1,214095.00
8021,尖點,109,Q4,896040.00
8021,尖點,109,Q3,560062.00
8021,尖點,109,Q2,392598.00
8024,佑華,109,Q1,13660.00
8024,佑華,109,Q3,9595.00
8024,佑華,109,Q2,-515.00
8024,佑華,109,Q4,18342.00
8027,鈦昇,109,Q1,-95287.00
8027,鈦昇,109,Q3,-119360.00
8027,鈦昇,109,Q2,-62557.00
8027,鈦昇,109,Q4,-38638.00
8028,昇陽半導體,109,Q1,139535.00
8028,昇陽半導體,109,Q3,394186.00
8028,昇陽半導體,109,Q4,556402.00
8028,昇陽半導體,109,Q2,254200.00
8032,光菱,109,Q1,93190.00
8032,光菱,109,Q4,130448.00
8032,光菱,109,Q2,174210.00
8032,光菱,109,Q3,147613.00
8033,雷虎,109,Q4,34245.00
8033,雷虎,109,Q3,40156.00
8033,雷虎,109,Q1,21842.00
8033,雷虎,109,Q2,52497.00
8034,榮群,109,Q3,95078.00
8034,榮群,109,Q1,168214.00
8034,榮群,109,Q4,93337.00
8034,榮群,109,Q2,128132.00
8038,長園科,109,Q2,-37578.00
8038,長園科,109,Q1,-27860.00
8038,長園科,109,Q4,-58124.00
8038,長園科,109,Q3,-63389.00
8039,台虹,109,Q4,1133063.00
8039,台虹,109,Q3,1139764.00
8039,台虹,109,Q1,637883.00
8039,台虹,109,Q2,954430.00
8040,九暘,109,Q2,-73975.00
8040,九暘,109,Q1,-37594.00
8040,九暘,109,Q3,-27052.00
8040,九暘,109,Q4,37214.00
8042,金山電,109,Q2,584338.00
8042,金山電,109,Q1,319103.00
8042,金山電,109,Q4,764209.00
8042,金山電,109,Q3,700422.00
8043,蜜望實,109,Q3,266072.00
8043,蜜望實,109,Q1,296833.00
8043,蜜望實,109,Q2,282469.00
8043,蜜望實,109,Q4,13941.00
8044,網家,109,Q1,949104.00
8044,網家,109,Q3,1014007.00
8044,網家,109,Q2,1700246.00
8044,網家,109,Q4,1412477.00
8045,達運光電,109,Q2,155517.00
8045,達運光電,109,Q4,347690.00
8046,南電,109,Q3,2929936.00
8046,南電,109,Q4,6586869.00
8046,南電,109,Q2,2204578.00
8046,南電,109,Q1,908434.00
8047,星雲,109,Q3,-25062.00
8047,星雲,109,Q4,77.00
8047,星雲,109,Q1,-22369.00
8047,星雲,109,Q2,-36512.00
8048,德勝,109,Q2,45120.00
8048,德勝,109,Q3,31728.00
8048,德勝,109,Q1,12513.00
8048,德勝,109,Q4,73204.00
8049,晶采,109,Q2,159804.00
8049,晶采,109,Q4,362433.00
8049,晶采,109,Q3,261263.00
8049,晶采,109,Q1,103497.00
8050,廣積,109,Q1,137631.00
8050,廣積,109,Q2,-143053.00
8050,廣積,109,Q3,-326788.00
8050,廣積,109,Q4,-372613.00
8054,安國,109,Q2,76592.00
8054,安國,109,Q3,240170.00
8054,安國,109,Q1,114957.00
8054,安國,109,Q4,269281.00
8059,凱碩,109,Q2,-34151.00
8059,凱碩,109,Q3,-13320.00
8059,凱碩,109,Q1,-57750.00
8059,凱碩,109,Q4,75551.00
