代號,名稱,年度,季別,股東會日期,股利所屬期間,決議（擬議）進度,股東配發-盈餘分配之現金股利(元/股),股東配發-法定盈餘公積發放之現金(元/股),股東配發-資本公積發放之現金(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-法定盈餘公積轉增資配股(元/股),股東配發-資本公積轉增資配股(元/股),股東配發-股東配股總股數(股)
1309,台達化,109,Y1,110/05/31,109/01/01~109/12/31,股東會確認,2.0,0.0,0.0,688462076,1.0,0.0,0.0,34423103
1309,台達化,109,Y1,110/05/31,109/01/01~109/12/31,股東會確認,2.0,0.0,0.0,688462076,1.0,0.0,0.0,34423103
1309,台達化,109,Y1,110/05/31,109/01/01~109/12/31,股東會確認,2.0,0.0,0.0,688462076,1.0,0.0,0.0,34423103
1310,台苯,109,Y1,110/06/25,109/01/01~109/12/31,股東會確認,0.5,0.0,0.0,263934882,0.0,0.0,0.0,0
1310,台苯,109,Y1,110/06/25,109/01/01~109/12/31,股東會確認,0.5,0.0,0.0,263934882,0.0,0.0,0.0,0
1310,台苯,109,Y1,110/06/25,109/01/01~109/12/31,股東會確認,0.5,0.0,0.0,263934882,0.0,0.0,0.0,0
1312,國喬,109,Y1,不適用,109/01/01~109/12/31,董事會決議,0.1,0.0,0.0,90662033,0.0,0.0,0.0,0
1312A,國喬特,109,Y1,不適用,109/01/01~109/12/31,董事會決議,0.7,0.0,0.0,14000000,0.0,0.0,0.0,0
1312A,國喬特,109,Y1,不適用,109/01/01~109/12/31,董事會決議,0.7,0.0,0.0,14000000,0.0,0.0,0.0,0
1312,國喬,109,Y1,不適用,109/01/01~109/12/31,董事會決議,0.1,0.0,0.0,90662033,0.0,0.0,0.0,0
1312,國喬,109,Y1,不適用,109/01/01~109/12/31,董事會決議,0.1,0.0,0.0,90662033,0.0,0.0,0.0,0
1312A,國喬特,109,Y1,不適用,109/01/01~109/12/31,董事會決議,0.7,0.0,0.0,14000000,0.0,0.0,0.0,0
1313,聯成,109,Y1,不適用,109/01/01~109/12/31,董事會決議,1.0,0.0,0.0,1292347607,0.0,0.0,0.0,0
1313,聯成,109,Y1,不適用,109/01/01~109/12/31,董事會決議,1.0,0.0,0.0,1292347607,0.0,0.0,0.0,0
1313,聯成,109,Y1,不適用,109/01/01~109/12/31,董事會決議,1.0,0.0,0.0,1292347607,0.0,0.0,0.0,0
1314,中石化,109,Y1,110/05/28,109/01/01~109/12/31,股東會確認,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1314,中石化,109,Y1,110/05/28,109/01/01~109/12/31,股東會確認,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1314,中石化,109,Y1,110/05/28,109/01/01~109/12/31,股東會確認,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1315,達新,109,H1,不適用,109/01/01~109/06/30,董事會決議,4.0,0.0,0.0,554400000,0.0,0.0,0.0,0
1315,達新,109,H1,不適用,109/01/01~109/06/30,董事會決議,4.0,0.0,0.0,554400000,0.0,0.0,0.0,0
1315,達新,109,H2,不適用,109/07/01~109/12/31,董事會決議,4.0,0.0,0.0,554400000,0.0,0.0,0.0,0
1315,達新,109,H1,不適用,109/01/01~109/06/30,董事會決議,4.0,0.0,0.0,554400000,0.0,0.0,0.0,0
1315,達新,109,H2,不適用,109/07/01~109/12/31,董事會決議,4.0,0.0,0.0,554400000,0.0,0.0,0.0,0
1315,達新,109,H2,不適用,109/07/01~109/12/31,董事會決議,4.0,0.0,0.0,554400000,0.0,0.0,0.0,0
1316,上曜,109,H2,不適用,109/07/01~109/12/31,董事會決議,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1316,上曜,109,H1,不適用,109/01/01~109/06/30,董事會決議,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1316,上曜,109,H1,不適用,109/01/01~109/06/30,董事會決議,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1316,上曜,109,H1,不適用,109/01/01~109/06/30,董事會決議,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1316,上曜,109,H2,不適用,109/07/01~109/12/31,董事會決議,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1316,上曜,109,H2,不適用,109/07/01~109/12/31,董事會決議,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1319,東陽,109,Y1,不適用,109/01/01~109/12/31,董事會決議,0.8,0.0,0.0,473181654,0.0,0.0,0.0,0
1319,東陽,109,Y1,不適用,109/01/01~109/12/31,董事會決議,0.8,0.0,0.0,473181654,0.0,0.0,0.0,0
1319,東陽,109,Y1,不適用,109/01/01~109/12/31,董事會決議,0.8,0.0,0.0,473181654,0.0,0.0,0.0,0
1321,大洋,109,Y1,110/06/22,109/01/01~109/12/31,股東會確認,1.0,0.0,0.0,227228268,0.0,0.0,0.0,0
1321,大洋,109,Y1,110/06/22,109/01/01~109/12/31,股東會確認,1.0,0.0,0.0,227228268,0.0,0.0,0.0,0
