出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/10/28","110","2","2752","豆府","819002.00","411404.00","--","--","407598.00","--","--","407598.00","358842.00","--","48756.00","27422.00","76178.00","10036.00","66142.00","--","--","66142.00","206.00","--","66348.00","66229.00","--","-87.00","66334.00","--","14.00","2.91"
"114/10/28","110","2","2754","亞洲藏壽司","1171477.00","720539.00","--","--","450938.00","--","--","450938.00","443121.00","--","7817.00","-6249.00","1568.00","-3439.00","5007.00","--","--","5007.00","1.00","--","5008.00","5007.00","--","--","5008.00","--","--","0.11"
"114/10/28","110","2","2755","揚秦","761798.00","569696.00","--","--","192102.00","--","--","192102.00","151312.00","--","40790.00","-3982.00","36808.00","7197.00","29611.00","--","--","29611.00","-205.00","--","29406.00","29611.00","--","--","29406.00","--","--","1.48"
"114/10/28","110","2","2756","聯發國際","387689.00","191419.00","--","--","196270.00","--","--","196270.00","120648.00","--","75622.00","-6854.00","68768.00","20029.00","48739.00","--","--","48739.00","-1672.00","--","47067.00","48739.00","--","--","47067.00","--","--","3.71"
"114/10/28","110","2","2916","滿心","601526.00","310133.00","--","--","291393.00","--","--","291393.00","265761.00","--","25632.00","9224.00","34856.00","6971.00","27885.00","--","--","27885.00","-916.00","--","26969.00","--","--","--","--","--","--","0.51"
"114/10/28","110","2","2924","宏太-KY","144133.00","60023.00","--","--","84110.00","--","--","84110.00","133262.00","--","-49152.00","-976.00","-50128.00","-91.00","-50037.00","--","--","-50037.00","-1040.00","--","-51077.00","-50037.00","--","--","-51077.00","--","--","-1.53"
"114/10/28","110","2","2926","誠品生活","2228531.00","1481794.00","--","--","746737.00","--","--","746737.00","956056.00","--","-209319.00","57273.00","-152046.00","-21476.00","-130570.00","--","--","-130570.00","-9512.00","--","-140082.00","-127055.00","--","-3515.00","-135767.00","--","-4315.00","-2.68"
"114/10/28","110","2","2937","集雅社","1408873.00","1042030.00","--","--","366843.00","--","--","366843.00","309339.00","--","57504.00","3268.00","60772.00","13207.00","47565.00","--","--","47565.00","--","--","47565.00","47565.00","--","--","47565.00","--","--","1.45"
"114/10/28","110","2","2941","米斯特","156553.00","66284.00","--","--","90269.00","--","--","90269.00","82335.00","--","7934.00","3875.00","11809.00","0.00","11809.00","--","--","11809.00","-766.00","--","11043.00","11871.00","--","-62.00","11105.00","--","-62.00","0.93"
"114/10/28","110","2","2947","振宇五金","836569.00","507188.00","--","--","329381.00","--","--","329381.00","249880.00","--","79501.00","-4774.00","74727.00","14776.00","59951.00","--","--","59951.00","--","--","59951.00","59951.00","--","--","59951.00","--","--","3.47"
"114/10/28","110","2","2948","寶陞","963447.00","636021.00","--","--","327426.00","--","--","327426.00","209912.00","--","117514.00","-8280.00","109234.00","25993.00","83241.00","--","--","83241.00","-5953.00","--","77288.00","83241.00","--","--","77288.00","--","--","4.36"
"114/10/28","110","2","3064","泰偉","162373.00","35754.00","--","--","126619.00","--","--","126619.00","105492.00","--","21127.00","-8813.00","12314.00","--","12314.00","--","--","12314.00","1010.00","--","13324.00","15950.00","--","-3636.00","16960.00","--","-3636.00","0.60"
"114/10/28","110","2","3066","李洲","212725.00","154855.00","--","--","57870.00","--","--","57870.00","49902.00","--","7968.00","21371.00","29339.00","203.00","29136.00","--","--","29136.00","-2488.00","--","26648.00","30534.00","--","-1398.00","30351.00","--","-3703.00","0.37"
"114/10/28","110","2","3067","全域","21231.00","17726.00","--","--","3505.00","--","--","3505.00","12005.00","--","-8500.00","1967.00","-6533.00","55.00","-6588.00","--","--","-6588.00","-270.00","--","-6858.00","-6588.00","--","0.00","-6858.00","--","0.00","-0.23"
"114/10/28","110","2","3071","協禧","1180919.00","855005.00","--","--","325914.00","--","--","325914.00","232374.00","--","93540.00","11110.00","104650.00","18680.00","85970.00","--","--","85970.00","-25518.00","--","60452.00","89075.00","--","-3105.00","65573.00","--","-5121.00","0.82"
"114/10/28","110","2","3073","天方能源","14979.00","9764.00","--","--","5215.00","--","--","5215.00","14186.00","--","-8971.00","-9914.00","-18885.00","--","-18885.00","0.00","--","-18885.00","-627.00","--","-19512.00","-17379.00","--","-1506.00","-18006.00","--","-1506.00","-1.02"
"114/10/28","110","2","3078","僑威","5457901.00","4370837.00","--","--","1087064.00","--","--","1087064.00","378093.00","--","708971.00","12997.00","721968.00","178973.00","542995.00","--","--","542995.00","-43564.00","--","499431.00","542995.00","--","--","499431.00","--","--","2.39"
"114/10/28","110","2","3081","聯亞","1143990.00","582266.00","--","--","561724.00","--","--","561724.00","185099.00","--","376625.00","-1358.00","375267.00","76429.00","298838.00","--","--","298838.00","--","--","298838.00","--","--","--","--","--","--","3.29"
"114/10/28","110","2","3083","網龍","165509.00","24265.00","--","--","141244.00","--","--","141244.00","178680.00","--","-37436.00","6000.00","-31436.00","2493.00","-33929.00","--","--","-33929.00","-8621.00","--","-42550.00","-34437.00","--","508.00","-42776.00","--","226.00","-0.40"
