出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/11/12","114","3","6803","崑鼎","4725921.00","11015342.00","15741263.00","5229549.00","3227116.00","8456665.00","726542.00","--","3007135.00","2941062.00","13807.00","-57.00","6688489.00","--","--","596109.00","7284598.00","0.00","45614.00","1605.00","92.06"
"114/11/12","114","3","6804","明係","676474.00","1164711.00","1841185.00","601873.00","148515.00","750388.00","350000.00","--","527346.00","256043.00","-42592.00","--","1090797.00","--","--","--","1090797.00","--","0.00","0.00","31.17"
"114/11/12","114","3","6811","宏�硌穈T","4127305.00","2050909.00","6178214.00","3821546.00","128765.00","3950311.00","414490.00","--","628098.00","1225566.00","-40251.00","--","2227903.00","--","--","--","2227903.00","0.00","0.00","0.00","53.75"
"114/11/12","114","3","6840","東研信超","575509.00","1168069.00","1743578.00","266924.00","461379.00","728303.00","303134.00","--","474087.00","263020.00","-24966.00","--","1015275.00","--","--","--","1015275.00","--","0.00","0.00","33.49"
"114/11/12","114","3","6841","長佳智能","808153.00","1248891.00","2057044.00","102420.00","11426.00","113846.00","951980.00","--","850175.00","-50899.00","--","-75353.00","1675903.00","--","--","267295.00","1943198.00","--","0.00","765000.00","17.75"
"114/11/12","114","3","6844","諾貝兒","2556722.00","2302205.00","4858927.00","684317.00","1010064.00","1694381.00","374284.00","--","1400994.00","1389268.00","--","0.00","3164546.00","--","--","--","3164546.00","0.00","0.00","0.00","84.55"
"114/11/12","114","3","6856","鑫傳","569256.00","435164.00","1004420.00","199844.00","20293.00","220137.00","282000.00","--","236231.00","216945.00","8760.00","--","743936.00","--","--","40347.00","784283.00","0.00","0.00","0.00","26.38"
"114/11/12","114","3","6859","伯特光","1476217.00","981609.00","2457826.00","274074.00","84903.00","358977.00","415886.00","--","676352.00","1006863.00","-252.00","--","2098849.00","--","--","--","2098849.00","--","118600.00","0.00","50.47"
"114/11/12","114","3","6865","偉康科技","468791.00","150993.00","619784.00","152379.00","69799.00","222178.00","159687.00","--","152377.00","85473.00","69.00","--","--","--","--","--","397606.00","0.00","129500.00","0.00","25.12"
"114/11/12","114","3","6872","浩宇生醫","483848.00","175738.00","659586.00","38032.00","14414.00","52446.00","707505.00","--","535450.00","-645589.00","-900.00","--","596466.00","--","--","10674.00","607140.00","0.00","6000.00","0.00","8.43"
"114/11/12","114","3","6874","倍力","957756.00","279477.00","1237233.00","373212.00","397132.00","770344.00","220000.00","--","154724.00","111086.00","--","-18921.00","--","--","--","--","466889.00","0.00","0.00","218000.00","21.43"
