股票代號,股票名稱,收盤價,收盤日,配股方式,近一年股利,近一年股利值利率,115現金股利,114現金股利,113現金股利,112現金股利,111現金股利,110現金股利,109現金股利,108現金股利,107現金股利,115殖利率,114殖利率,113殖利率,112殖利率,111殖利率,110殖利率,109殖利率,108殖利率,107殖利率,115ROE,114ROE,113ROE,112ROE,111ROE,110ROE,109ROE,108ROE,107ROE,115EPS_年度,114EPS_年度,113EPS_年度,112EPS_年度,111EPS_年度,110EPS_年度,109EPS_年度,108EPS_年度,107EPS_年度,近3年平均股息,近5年平均股息,近8年平均股息,近3年平均殖利率,近5年平均殖利率,近8年平均殖利率,近3年平均ROE,近5年平均ROE,近8年平均ROE,近3年平均配息率,近5年平均配息率,近8年平均配息率,114Q4_EPS,114Q3_EPS,114Q2_EPS,114Q1_EPS,113Q4_EPS,113Q3_EPS,113Q2_EPS,113Q1_EPS,114Q4_vs_113Q4_EPS差率,114Q3_vs_113Q3_EPS差率,114Q2_vs_113Q2_EPS差率,114Q1_vs_113Q1_EPS差率,近四季EPS總合,近四季_vs_前年度_EPS差率
1264,德麥,272.5,2026-04-27,年配,15.0,5.5,,15.0,14.5,14.0,12.0,12.0,12.0,11.0,11.0,,5.5,5.32,5.14,4.4,4.4,4.4,4.04,4.04,,,21.94,20.62,20.85,22.1,21.0,20.29,20.0,,,20.55,18.24,17.09,16.19,16.0,14.02,13.27,14.5,13.5,12.69,5.32,4.95,4.66,21.28,21.38,20.97,73.66,72.91,75.43,,15.94,10.28,5.2,20.55,15.67,10.02,5.08,,1.72,2.59,2.36,15.94,-22.43
1268,漢來美食,155.0,2026-04-27,年配,8.0,5.16,,8.0,7.5,7.0,3.0,3.0,7.0,4.918,2.374,,5.16,4.84,4.52,1.94,1.94,4.52,3.17,1.53,,,19.22,16.04,6.76,4.04,17.04,17.49,13.77,,,10.06,7.61,3.08,2.01,7.51,7.2,6.13,7.5,5.7,5.35,4.84,3.68,3.45,17.63,11.51,13.48,83.26,103.3,87.63,,7.7,6.15,4.39,10.06,7.75,6.27,4.73,,-0.65,-1.91,-7.19,7.7,-23.46
1294,漢田生技,79.2,2026-04-27,年配,3.0,3.79,,3.0,3.2,1.0,1.0,,1.0,,,,3.79,4.04,1.26,1.26,,1.26,,,,,25.43,44.04,20.54,19.1,37.74,,,,,6.02,7.66,3.06,2.89,7.14,,,2.4,2.05,1.84,3.03,2.59,2.32,34.74,27.28,29.37,33.1,32.96,28.22,,3.37,2.35,1.17,6.02,4.94,3.24,1.84,,-31.78,-27.47,-36.41,3.37,-44.02
1295,生合,56.9,2026-04-27,年配,3.0,5.27,,3.0,3.5,1.5,2.0,2.282,,,,,5.27,6.15,2.64,3.51,4.01,,,,,,16.82,12.31,10.31,,,,,,,5.43,3.68,3.02,,,,,2.67,2.46,2.46,4.69,4.32,4.32,14.57,13.15,13.15,52.61,57.15,57.15,,4.07,3.18,1.26,5.43,4.73,2.98,,,-13.95,6.71,,4.07,-25.05
1301,台塑,50.2,2026-04-24,年配,0.5,1.0,,0.5,0.5,1.0,4.2,8.2,2.4,4.4,5.8,,1.0,1.0,1.99,8.37,16.33,4.78,8.76,11.55,,-3.08,-0.39,2.08,9.5,19.4,5.88,10.59,14.15,,-1.58,-0.19,1.15,5.68,11.21,3.15,5.86,7.78,0.67,2.88,3.37,1.33,5.74,6.72,-0.46,5.5,7.27,-69.28,-12.15,20.63,-1.58,-1.13,-1.03,0.01,-0.19,-0.24,0.25,0.03,-731.58,-370.83,-512.0,-66.67,-1.58,-731.58
1303,南亞,85.9,2026-04-24,年配,0.8,0.93,,0.8,0.7,0.7,3.0,7.5,2.4,2.2,5.0,,0.93,0.81,0.81,3.49,8.73,2.79,2.56,5.82,,1.38,0.89,2.1,9.35,21.6,7.55,6.25,13.97,,0.57,0.42,0.8,4.05,10.25,3.24,2.91,6.65,0.73,2.54,2.79,0.85,2.95,3.24,1.46,7.06,7.89,131.51,108.35,95.83,0.57,-0.05,-0.46,0.06,0.42,0.38,0.38,0.16,35.71,-113.16,-221.05,-62.5,0.57,35.71
1304,台聚,14.4,2026-04-24,年配,0.15,1.04,,0.15,0.2,0.35,0.7,2.2,1.0,0.5,0.3,,1.04,1.39,2.43,4.86,15.28,6.94,3.47,2.08,,-16.38,-10.87,-3.87,-0.11,19.32,12.93,6.73,5.26,,-2.6,-2.0,-0.19,1.45,4.84,2.25,1.19,0.5,0.23,0.72,0.68,1.62,5.0,4.69,-10.37,-2.38,1.63,-66.66,-21.25,5.03,-2.6,-1.85,-1.4,-0.59,-2.0,-1.22,-0.6,-0.37,-30.0,-51.64,-133.33,-59.46,-2.6,-30.0
1305,華夏,14.75,2026-04-24,年配,0.1,0.68,,0.1,0.15,0.35,0.3,2.5,1.8,0.5,1.5,,0.68,1.02,2.37,2.03,16.95,12.2,3.39,10.17,,-11.19,-7.69,3.88,-3.09,23.77,18.84,7.97,15.94,,-1.58,-1.22,0.59,-0.64,4.25,2.95,1.22,2.52,0.2,0.68,0.9,1.36,4.61,6.1,-5.0,1.14,6.05,13.56,10.53,26.77,-1.58,-1.34,-1.16,-0.46,-1.22,-0.6,0.11,-0.05,-29.51,-123.33,-1154.55,-820.0,-1.58,-29.51
1307,三芳,31.7,2026-04-24,年配,2.2,6.94,,2.2,2.7,1.5,0.8,0.5,0.5,0.8,0.5,,6.94,8.52,4.73,2.52,1.58,1.58,2.52,1.58,,11.12,15.38,8.73,5.83,1.49,2.7,5.22,3.65,,2.85,3.72,1.91,1.18,0.29,0.55,1.08,0.76,2.13,1.54,1.19,6.73,4.86,3.75,11.74,8.51,6.76,76.1,93.7,87.41,2.85,2.01,0.96,1.08,3.72,2.76,1.79,1.04,-23.39,-27.17,-46.37,3.85,2.85,-23.39
1308,亞聚,15.4,2026-04-24,年配,0.2,1.3,,0.2,0.25,0.45,1.2,3.0,1.2,0.6,0.3,,1.3,1.62,2.92,7.79,19.48,7.79,3.9,1.95,,-9.62,-6.05,0.84,9.75,22.5,9.88,8.28,2.95,,-1.76,-1.26,0.2,2.44,5.22,1.9,1.48,0.52,0.3,1.02,0.9,1.95,6.62,5.84,-4.94,3.48,4.82,64.6,60.09,57.73,-1.76,-1.16,-0.9,-0.4,-1.26,-0.8,-0.44,-0.32,-39.68,-45.0,-104.55,-25.0,-1.76,-39.68
1309,台達化,20.5,2026-04-24,年配,0.15,0.73,,0.15,0.2,0.3,0.5,2.0,2.0,0.3,0.2,,0.73,0.98,1.46,2.44,9.76,9.76,1.46,0.98,,-7.09,-3.45,-3.95,5.54,26.39,36.03,9.6,5.27,,-1.07,-0.56,-0.69,1.04,4.89,5.58,1.19,0.63,0.22,0.63,0.71,1.06,3.07,3.45,-4.83,3.49,8.54,-31.07,-0.85,11.07,-1.07,-0.93,-0.75,-0.14,-0.56,-0.6,-0.35,-0.26,-91.07,-55.0,-114.29,46.15,-1.07,-91.07
1310,台苯,9.77,2026-04-24,年配,0.0,0.0,,,,,0.2,0.15,0.5,1.0,2.0,,,,,2.05,1.54,5.12,10.24,20.47,,-9.62,-5.22,-6.63,-4.71,1.42,3.94,11.8,15.52,,-1.37,-0.72,-0.88,-0.71,0.2,0.55,1.67,2.3,,0.18,0.77,,1.8,7.88,-7.16,-4.95,0.81,,23.42,56.92,-1.37,-0.94,-0.7,-0.34,-0.72,-0.39,-0.05,-0.06,-90.28,-141.03,-1300.0,-466.67,-1.37,-90.28
1312,國喬,12.7,2026-04-24,年配,0.0,0.0,,,,,0.5,2.0,0.1,,,,,,,3.94,15.75,0.79,,,,-13.26,-4.66,-4.01,-1.21,17.28,14.81,8.23,12.83,,-3.97,-1.42,-1.59,-0.56,6.47,4.52,2.27,3.26,,1.25,0.87,,9.85,6.83,-7.31,-1.17,3.75,,-29.19,-18.72,-3.97,-2.86,-1.53,-0.61,-1.42,-0.96,-0.67,-0.44,-179.58,-197.92,-128.36,-38.64,-3.97,-179.58
1312A,國喬特,22.45,2026-04-24,年配,0.0,0.0,,,,,1.1,2.6,0.7,0.6,0.6,,,,,4.9,11.58,3.12,2.67,2.67,,,,,,,,,,,,,,,,,,,,1.85,1.12,,8.24,4.99,,,,,,,,,,,,,,,,,,,,
1313,聯成,11.55,2026-04-24,年配,0.1,0.87,,0.1,0.15,0.2,0.2,1.0,1.0,0.2,0.2,,0.87,1.3,1.73,1.73,8.66,8.66,1.73,1.73,,-5.28,-8.01,-1.01,-4.41,7.83,9.38,-0.7,3.67,,-1.17,-1.79,-0.21,-0.94,1.66,1.62,-0.11,0.59,0.15,0.33,0.38,1.3,2.86,3.3,-4.77,-2.18,0.18,-37.39,-14.64,-19.92,-1.17,-0.56,-0.31,-0.2,-1.79,-1.57,-1.02,-0.59,34.64,64.33,69.61,66.1,-1.17,34.64
