出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/10/29","107","2","1418","東華","607574.00","1411920.00","2019494.00","182905.00","1683128.00","1866033.00","568343.00","8005.00","-275896.00","-66074.00","-80969.00","153409.00","--","--","52.00","153461.00","0.00","0.00","2543000.00","2.83"
"114/10/29","107","2","1419","新紡","2468253.00","10433645.00","12901898.00","3469528.00","870133.00","4339661.00","3000413.00","2646.00","1921001.00","3607865.00","-13174.00","8518751.00","0.00","--","43486.00","8562237.00","0.00","0.00","803829.00","28.47"
"114/10/29","107","2","1423","利華","1550341.00","1376881.00","2927222.00","23522.00","199370.00","222892.00","1730000.00","122705.00","493457.00","358168.00","--","--","--","--","--","2704330.00","--","0.00","0.00","15.63"
"114/10/29","107","2","1432","大魯閣","1083616.00","1726926.00","2810542.00","761112.00","82835.00","843947.00","1679376.00","679352.00","-522461.00","-28681.00","0.00","1807586.00","--","--","159009.00","1966595.00","0.00","0.00","0.00","10.76"
"114/10/29","107","2","1434","福懋","26525497.00","74714334.00","101239831.00","13722417.00","12165742.00","25888159.00","16846646.00","275418.00","16173912.00","38242483.00","-19935.00","71518524.00","--","--","3833148.00","75351672.00","0.00","0.00","2293228.00","42.51"
"114/10/29","107","2","1435","中福","378024.00","700899.00","1078923.00","5493.00","167482.00","172975.00","1397801.00","1302.00","-127801.00","-206063.00","-159275.00","905964.00","--","--","-16.00","905948.00","--","0.00","14424000.00","7.23"
"114/10/29","107","2","1436","華友聯","5258298.00","2693500.00","7951798.00","3315035.00","2209884.00","5524919.00","796950.00","245201.00","1379108.00","5620.00","--","2426879.00","--","--","--","2426879.00","0.00","0.00","0.00","31.97"
"114/10/29","107","2","1437","勤益控","1374522.00","8265788.00","9640310.00","686545.00","3519261.00","4205806.00","2033713.00","291244.00","2820273.00","263071.00","0.00","5408301.00","--","--","26203.00","5434504.00","0.00","0.00","0.00","27.92"
"114/10/29","107","2","1438","三地開發","571811.00","32589.00","604400.00","1667.00","68800.00","70467.00","1024115.00","81330.00","-549512.00","-22000.00","--","--","--","--","--","533933.00","--","0.00","0.00","5.21"
"114/10/29","107","2","1439","雋揚","1371323.00","684071.00","2055394.00","10997.00","150190.00","161187.00","920000.00","8686.00","965521.00","0.00","0.00","--","--","--","--","1894207.00","0.00","0.00","0.00","20.59"
