出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/10/29","108","4","6680","鑫創電子","404398.00","108000.00","512398.00","76889.00","44334.00","121223.00","175000.00","128898.00","87277.00","--","--","--","--","--","--","391175.00","0.00","0.00","0.00","22.35"
"114/10/29","108","4","6683","雍智科技","1196848.00","432133.00","1628981.00","277786.00","313.00","278099.00","270757.00","286140.00","793985.00","--","--","1350882.00","--","--","--","1350882.00","--","0.00","0.00","49.89"
"114/10/29","108","4","6684","安格","341626.00","69824.00","411450.00","57839.00","26588.00","84427.00","209630.00","56876.00","61518.00","--","-1001.00","--","--","--","--","327023.00","--","0.00","53.00","15.60"
"114/10/29","108","4","6690","安�硌穈T","600201.00","243502.00","843703.00","243450.00","17618.00","261068.00","163396.00","323900.00","106974.00","-11635.00","--","--","--","--","--","582635.00","0.00","0.00","0.00","35.66"
"114/10/29","108","4","6692","進能服","1058434.00","144309.00","1202743.00","513174.00","54734.00","567908.00","324500.00","154096.00","163739.00","-7500.00","--","634835.00","--","--","--","634835.00","--","0.00","0.00","19.56"
"114/10/29","108","4","6693","廣閎科","490104.00","161555.00","651659.00","263995.00","1424.00","265419.00","406400.00","75.00","-20372.00","137.00","--","386240.00","--","--","--","386240.00","--","0.00","0.00","9.50"
"114/10/29","108","4","6697","東捷資訊","635761.00","311364.00","947125.00","229859.00","195782.00","425641.00","273234.00","158042.00","93074.00","-2866.00","--","521484.00","--","--","--","521484.00","0.00","0.00","0.00","19.09"
"114/10/29","108","4","6703","軒郁","645418.00","54955.00","700373.00","153269.00","8433.00","161702.00","178000.00","222749.00","136117.00","-1699.00","--","535167.00","0.00","--","3504.00","538671.00","--","0.00","0.00","30.07"
"114/10/29","108","4","6708","天擎","334948.00","22992.00","357940.00","83944.00","9720.00","93664.00","238990.00","20064.00","5490.00","-268.00","--","264276.00","--","--","--","264276.00","--","0.00","0.00","11.06"
"114/10/29","108","4","6712","長聖","627359.00","283400.00","910759.00","28934.00","35912.00","64846.00","560000.00","479945.00","-194032.00","--","--","--","--","--","--","845913.00","--","0.00","0.00","15.11"
"114/10/29","108","4","6716","應廣","473205.00","101486.00","574691.00","119381.00","51894.00","171275.00","201750.00","55978.00","145688.00","--","--","--","--","--","--","403416.00","--","158000.00","0.00","20.00"
"114/10/29","108","4","6720","久昌","194675.00","26679.00","221354.00","29213.00","4048.00","33261.00","166400.00","2678.00","11741.00","-5114.00","--","175705.00","0.00","--","12388.00","188093.00","0.00","0.00","0.00","10.56"
"114/10/29","108","4","6721","信實","523320.00","143528.00","666848.00","286811.00","38916.00","325727.00","200000.00","60887.00","80234.00","--","--","341121.00","--","--","--","341121.00","--","0.00","0.00","17.06"
"114/10/29","108","4","6727","亞泰金屬","1045150.00","202363.00","1247513.00","773574.00","13883.00","787457.00","180521.00","2532.00","281498.00","-4495.00","0.00","460056.00","--","--","--","460056.00","--","0.00","0.00","25.48"
"114/10/29","108","4","6728","上洋","552157.00","411058.00","963215.00","347510.00","128308.00","475818.00","182000.00","0.00","296404.00","26.00","--","478430.00","--","--","8967.00","487397.00","--","0.00","0.00","26.29"
"114/10/29","108","4","6732","昇佳電子","3140188.00","117377.00","3257565.00","1293669.00","140642.00","1434311.00","377813.00","49228.00","1396213.00","--","--","--","--","--","--","1823254.00","--","0.00","0.00","48.26"
"114/10/29","108","4","6733","博晟生醫","395270.00","211985.00","607255.00","15493.00","2500.00","17993.00","820000.00","301105.00","-531843.00","--","--","--","--","--","--","589262.00","0.00","0.00","0.00","7.19"
