出表日期,年度,季別,公司代號,公司名稱,營業活動之淨現金流入（流出）,投資活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）,匯率變動對現金及約當現金之影響,本期現金及約當現金增加（減少）數,期初現金及約當現金餘額,期末現金及約當現金餘額
"114/10/29","111","3","1515","力山","-2167329.00","-453560.00","-194805.00","19232.00","-2796462.00","4574719.00","1778257.00"
"114/10/29","111","3","1516","川飛","-59067.00","51519.00","0.00","--","-7548.00","66055.00","58507.00"
"114/10/29","111","3","1517","利奇","234912.00","-101212.00","-20083.00","-11580.00","102037.00","669077.00","771114.00"
"114/10/29","111","3","1519","華城","958603.00","-248781.00","303467.00","-17371.00","995918.00","168981.00","1164899.00"
"114/10/29","111","3","1521","大億","206412.00","-110228.00","-92078.00","116.00","4222.00","82641.00","86863.00"
"114/10/29","111","3","1522","堤維西","659443.00","-1040680.00","884995.00","277193.00","780951.00","898571.00","1679522.00"
"114/10/29","111","3","1524","耿鼎","501235.00","-134792.00","-135905.00","--","230538.00","600303.00","830841.00"
"114/10/29","111","3","1525","江申","82234.00","-66543.00","-184757.00","12273.00","-156793.00","777255.00","620462.00"
"114/10/29","111","3","1526","日馳","320260.00","-146033.00","-394196.00","13929.00","-206040.00","708574.00","502534.00"
"114/10/29","111","3","1527","鑽全","1048112.00","-1385839.00","-332526.00","--","-670253.00","1117240.00","446987.00"
"114/10/29","111","3","1528","恩德","170066.00","-133619.00","226649.00","74994.00","338090.00","811824.00","1149914.00"
"114/10/29","111","3","1529","樂事綠能","-66800.00","-251081.00","128130.00","221.00","-189530.00","639204.00","449674.00"
"114/10/29","111","3","1530","亞崴","196616.00","-241740.00","327116.00","-6177.00","275815.00","937652.00","1213467.00"
"114/10/29","111","3","1531","高林股","46376.00","54803.00","-108457.00","20201.00","12923.00","1055332.00","1068255.00"
"114/10/29","111","3","1532","勤美","1019698.00","-956115.00","-1528563.00","62068.00","-1402912.00","5039645.00","3636733.00"
"114/10/29","111","3","1533","車王電","-408615.00","-365051.00","28062.00","140012.00","-605592.00","1538223.00","932631.00"
"114/10/29","111","3","1535","中宇","-311168.00","503658.00","-349382.00","81839.00","-75053.00","770216.00","695163.00"
"114/10/29","111","3","1536","和大","-487169.00","-1140051.00","1276053.00","-20307.00","-371474.00","947910.00","576436.00"
"114/10/29","111","3","1537","廣隆","457765.00","-72830.00","-554472.00","322130.00","152593.00","1329030.00","1481623.00"
"114/10/29","111","3","1538","正峰","-32189.00","8367.00","10408.00","18553.00","5139.00","38130.00","43269.00"
"114/10/29","111","3","1539","巨庭","554338.00","681892.00","-957979.00","-4428.00","273823.00","346426.00","620249.00"
"114/10/29","111","3","1540","喬福","77125.00","-57558.00","-49605.00","48672.00","18634.00","579959.00","598593.00"
"114/10/29","111","3","1541","錩泰","834672.00","-29123.00","-369684.00","25191.00","461056.00","103832.00","564888.00"
"114/10/29","111","3","1558","伸興","449935.00","-823649.00","524128.00","71181.00","221595.00","2634448.00","2856043.00"
"114/10/29","111","3","1560","中砂","1370123.00","-288927.00","-1841729.00","27541.00","-732992.00","1919884.00","1186892.00"
"114/10/29","111","3","1568","倉佑","254739.00","-29134.00","-290269.00","14180.00","-50484.00","554440.00","503956.00"
"114/10/29","111","3","1582","信錦","1475746.00","-285606.00","-334841.00","74019.00","929318.00","2059537.00","2988855.00"
"114/10/29","111","3","1583","程泰","325116.00","-644877.00","1069447.00","49337.00","799023.00","1607258.00","2406281.00"
"114/10/29","111","3","1587","吉茂","92126.00","-126573.00","47320.00","-8480.00","4393.00","379997.00","384390.00"
"114/10/29","111","3","1589","永冠-KY","-282401.00","-2421109.00","2816575.00","110072.00","223137.00","1993773.00","2216910.00"
"114/10/29","111","3","1590","亞德客-KY","3769762.00","-3173704.00","-651836.00","-60016.00","-115794.00","4374302.00","4258508.00"
"114/10/29","111","3","1597","直得","330120.00","-177310.00","-75651.00","23816.00","100975.00","801950.00","902925.00"
"114/10/29","111","3","1598","岱宇","463250.00","-179832.00","-849522.00","100252.00","-465852.00","1212636.00","746784.00"
"114/10/29","111","3","1603","華電","-371293.00","-83357.00","362288.00","1.00","-92361.00","225440.00","133079.00"
"114/10/29","111","3","1604","聲寶","591703.00","-379674.00","-103811.00","6125.00","114343.00","641399.00","755742.00"
"114/10/29","111","3","1605","華新","10434246.00","-8156703.00","10198493.00","486052.00","12962088.00","10387581.00","23349669.00"
"114/10/29","111","3","1608","華榮","-111349.00","148822.00","141499.00","--","178972.00","353381.00","532353.00"
"114/10/29","111","3","1609","大亞","-150062.00","-2173482.00","2648148.00","142578.00","467182.00","4999261.00","5466443.00"
"114/10/29","111","3","1611","中電","132748.00","133517.00","-288256.00","648.00","-21343.00","569552.00","548209.00"
"114/10/29","111","3","1612","宏泰","-233049.00","-75551.00","-886065.00","5387.00","-1189278.00","2899230.00","1709952.00"
"114/10/29","111","3","1614","三洋電","101172.00","220654.00","-321098.00","--","728.00","81371.00","82099.00"
"114/10/29","111","3","1615","大山","201832.00","42426.00","-358461.00","--","-114203.00","230110.00","115907.00"
"114/10/29","111","3","1616","億泰","-184038.00","-120723.00","102283.00","77267.00","-125211.00","293495.00","168284.00"
"114/10/29","111","3","1617","榮星","240179.00","-209493.00","-345190.00","71789.00","-242715.00","896758.00","654043.00"
"114/10/29","111","3","1618","合機","-219849.00","36480.00","179109.00","825.00","-3435.00","176505.00","173070.00"
"114/10/29","111","3","1626","艾美特-KY","725043.00","-19621.00","-359884.00","-63417.00","282121.00","449654.00","731775.00"
"114/10/29","111","3","1702","南僑","582202.00","-573357.00","-112208.00","336111.00","232748.00","9729803.00","9962551.00"
"114/10/29","111","3","1707","葡萄王","1292408.00","-79151.00","-1613908.00","14069.00","-386582.00","3635197.00","3248615.00"
"114/10/29","111","3","1708","東鹼","921357.00","-309273.00","-423754.00","86655.00","274985.00","955556.00","1230541.00"
"114/10/29","111","3","1709","和益","532175.00","-24777.00","419506.00","892.00","927796.00","649114.00","1576910.00"
"114/10/29","111","3","1710","東聯","-767395.00","-1546172.00","2870600.00","31310.00","588343.00","2103567.00","2691910.00"
"114/10/29","111","3","1711","永光","442915.00","-284283.00","-244143.00","-24506.00","-110017.00","1449753.00","1339736.00"
"114/10/29","111","3","1712","興農","1145487.00","-429911.00","-951272.00","375717.00","140021.00","1671564.00","1811585.00"
"114/10/29","111","3","1713","國化","80676.00","-16925.00","-128309.00","--","-64558.00","231821.00","167263.00"
"114/10/29","111","3","1714","和桐","-426187.00","-448850.00","-351410.00","300332.00","-926115.00","6438023.00","5511908.00"
"114/10/29","111","3","1717","長興","4501146.00","-2034096.00","612835.00","172851.00","3252736.00","4289467.00","7542203.00"
