code,year,quarter,eps,profit,equity,cash_dividend
1586,106,Q2,0.03,1865.0,1314074.0,
1586,106,Q1,0.09,5979.0,1293883.0,
1586,106,Y1,,,,0.2
1591,114,Q3,-2.09,-78687.0,496859.0,
1591,114,Q2,,,509649.0,
1591,114,Q1,-0.52,-19308.0,570103.0,
1591,114,H1,,,,
1591,113,Q4,-1.25,-44299.0,493840.0,
1591,113,Q3,-1.43,-51578.0,506512.0,
1591,113,Q2,-0.82,-28602.0,484912.0,
1591,113,Q1,-0.47,-16259.0,416045.0,
1591,113,H1,,,,
1591,113,H2,,,,
1591,112,Q4,-1.43,-49407.0,426915.0,
1591,112,Q3,-0.96,-32948.0,455227.0,
1591,112,Q2,-0.65,-22237.0,443236.0,
1591,112,Q1,-0.45,-15449.0,484297.0,
1591,112,H1,,,,
1591,112,H2,,,,
1591,111,Q4,2.51,85942.0,503339.0,
1591,111,Q3,2.16,73933.0,483634.0,
1591,111,Q2,1.28,41808.0,443607.0,
1591,111,Q1,0.8,25871.0,448487.0,
1591,111,H1,,,,
1591,111,H2,,,,0.5
1591,110,Q4,1.52,49768.0,411003.0,
1591,110,Q3,1.32,43086.0,404471.0,
1591,110,Q2,1.27,41364.0,406935.0,
1591,110,Q1,0.49,15973.0,407644.0,
1591,110,H1,,,,
1591,110,H2,,,,0.5
1591,109,Q4,1.59,52852.0,403323.0,
1591,109,Q3,,,399305.0,
1591,109,Q2,0.06,2135.0,352126.0,
1591,109,Q1,-0.1,-3425.0,371619.0,
1591,109,H1,,,,
1591,109,H2,,,,0.5
1591,108,Q4,0.24,8103.0,393547.0,
1591,108,Q3,0.64,21350.0,411463.0,
1591,108,Q2,0.53,17698.0,413636.0,
1591,108,Q1,0.34,11213.0,444027.0,
1591,108,H1,,,,
1591,108,H2,,,,0.5
1591,107,Q4,1.44,47741.0,422453.0,
1591,107,Q3,1.03,34126.0,406810.0,
1591,107,Q2,0.41,13557.0,398299.0,
1591,107,Q1,0.01,281.0,382734.0,
1591,107,Y1,,,,1.0
1591,106,Q4,0.06,1892.0,368897.0,
1591,106,Q3,0.09,3130.0,362413.0,
1591,106,Q2,0.1,3097.0,356107.0,
1591,106,Q1,0.2,5978.0,354133.0,
1591,106,Y1,,,,
1593,114,Q3,1.28,73024.0,1367623.0,
1593,114,Q2,,,1329945.0,
1593,114,Q1,0.42,23526.0,1389533.0,
1593,113,Q4,1.7,95693.0,1413879.0,1.6
1593,113,Q3,1.01,60898.0,1372463.0,
1593,113,Q2,0.43,28963.0,1346369.0,
1593,113,Q1,0.0,4628.0,1337430.0,
1593,112,Q4,1.28,79467.0,1360769.0,1.6
1593,112,Q3,1.07,62051.0,1374973.0,
1593,112,Q2,0.86,46737.0,1349882.0,
1593,112,Q1,0.26,15024.0,1324284.0,
1593,111,Q4,5.24,199029.0,1381415.0,
1593,111,Q3,4.29,155844.0,1349006.0,
1593,111,Q2,0.82,30048.0,1046079.0,
1593,111,Q1,0.34,12727.0,1162468.0,
1593,111,Y1,,,,2.6
1593,110,Q4,4.9,172303.0,1131888.0,
1593,110,Q3,3.62,126641.0,1070047.0,
1593,110,Q2,2.32,80561.0,1146723.0,
1593,110,Q1,0.99,33871.0,1107974.0,
1593,110,Y1,,,,3.8
1593,109,Q4,4.49,144298.0,1000849.0,
1593,109,Q3,,,851319.0,
1593,109,Q2,1.54,49409.0,812579.0,
1593,109,Q1,0.63,20149.0,888750.0,
1593,109,Y1,,,,3.6
1593,108,Q4,3.74,120191.0,876472.0,
1593,108,Q3,2.71,87152.0,856068.0,
1593,108,Q2,1.58,50715.0,821767.0,
1593,108,Q1,0.81,25790.0,924821.0,
1593,108,Y1,,,,3.2
1593,107,Q4,3.8,120959.0,898861.0,
1593,107,Q3,2.64,83989.0,839775.0,
1593,107,Q2,1.2,37844.0,796613.0,
1593,107,Q1,0.31,9544.0,868189.0,
1593,107,Y1,,,,4.0
1593,106,Q4,3.77,114295.0,805601.0,
1593,106,Q3,2.61,78900.0,770442.0,
1593,106,Q2,1.15,34670.0,723555.0,
1593,106,Q1,0.31,9421.0,786264.0,
1593,106,Y1,,,,2.66709767
1595,114,Q3,-1.81,-98756.0,2722845.0,
1595,114,Q2,,,2733656.0,
1595,114,Q1,-0.34,-18901.0,2826512.0,
1595,113,Q4,-0.06,-5180.0,2866737.0,
1595,113,Q3,-0.11,-8618.0,2661307.0,
1595,113,Q2,0.17,6163.0,2616631.0,
1595,113,Q1,0.36,16943.0,2625122.0,
1595,113,Y1,,,,0.5
1595,112,Q4,1.04,48739.0,2648086.0,
1595,112,Q3,1.51,70366.0,2665475.0,
1595,112,Q2,0.98,44471.0,2634570.0,
1595,112,Q1,0.27,11831.0,2600874.0,
1595,112,Y1,,,,1.0
1595,111,Q4,4.85,224652.0,2667890.0,
1595,111,Q3,4.98,231524.0,2670349.0,
1595,111,Q2,3.0,138770.0,2571183.0,
