出表日期,年度,季別,公司代號,公司名稱,營業活動之淨現金流入（流出）,投資活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）,匯率變動對現金及約當現金之影響,本期現金及約當現金增加（減少）數,期初現金及約當現金餘額,期末現金及約當現金餘額
"114/10/29","108","1","1319","東陽","1175408.00","-780710.00","-209212.00","-66466.00","119020.00","1135966.00","1254986.00"
"114/10/29","108","1","1321","大洋","-18232.00","-43528.00","80645.00","7970.00","26855.00","382434.00","409289.00"
"114/10/29","108","1","1323","永裕","220576.00","-127191.00","190632.00","23812.00","307829.00","806643.00","1114472.00"
"114/10/29","108","1","1324","地球","-1085.00","-8297.00","-188.00","2432.00","-7138.00","229133.00","221995.00"
"114/10/29","108","1","1325","恆大","42307.00","-72405.00","86.00","1593.00","-28419.00","162843.00","134424.00"
"114/10/29","108","1","1326","台化","10461189.00","-8697313.00","-13668628.00","360900.00","-11543852.00","31209809.00","19665957.00"
"114/10/29","108","1","1337","再生-KY","-143856.00","-9757.00","--","42495.00","-111118.00","1740758.00","1629640.00"
"114/10/29","108","1","1338","廣華-KY","333118.00","-187353.00","-157524.00","66296.00","54537.00","2760503.00","2815040.00"
"114/10/29","108","1","1339","昭輝","304881.00","-576747.00","45302.00","4020.00","-222544.00","958994.00","736450.00"
"114/10/29","108","1","1340","勝悅-KY","46122.00","-94239.00","-15361.00","79905.00","16427.00","3221091.00","3237518.00"
"114/10/29","108","1","1341","富林-KY","2448.00","-186877.00","-25496.00","503.00","-209422.00","297457.00","88035.00"
"114/10/29","108","1","1402","遠東新","9346357.00","-5398791.00","-6045020.00","59635.00","-2037819.00","35342560.00","33304741.00"
"114/10/29","108","1","1410","南染","38342.00","-49812.00","-922.00","--","-12392.00","512168.00","499776.00"
"114/10/29","108","1","1413","宏洲","49626.00","-45490.00","-10865.00","--","-6729.00","68875.00","62146.00"
"114/10/29","108","1","1414","東和","-47017.00","-22555.00","71492.00","--","1920.00","35028.00","36948.00"
"114/10/29","108","1","1416","廣豐","-57274.00","67006.00","90040.00","257.00","100029.00","128571.00","228600.00"
"114/10/29","108","1","1417","嘉裕","-14573.00","126517.00","-57711.00","2058.00","56291.00","461464.00","517755.00"
"114/10/29","108","1","1418","東華","-88212.00","-2305.00","54987.00","16.00","-35514.00","239665.00","204151.00"
"114/10/29","108","1","1419","新紡","-18118.00","-3065.00","-165761.00","2032.00","-184912.00","510075.00","325163.00"
"114/10/29","108","1","1423","利華","-24241.00","-940.00","0.00","--","-25181.00","371133.00","345952.00"
"114/10/29","108","1","1432","大魯閣","116401.00","-79051.00","-79149.00","-2159.00","-43958.00","362138.00","318180.00"
"114/10/29","108","1","1434","福懋","94308.00","-570275.00","391814.00","27434.00","-56719.00","3391896.00","3335177.00"
"114/10/29","108","1","1435","中福","2049.00","6792.00","-1014.00","0.00","7827.00","28689.00","36516.00"
"114/10/29","108","1","1436","華友聯","-47372.00","-42115.00","32332.00","--","-57155.00","618662.00","561507.00"
"114/10/29","108","1","1437","勤益控","82716.00","-5657.00","-6250.00","3061.00","73870.00","911666.00","985536.00"
"114/10/29","108","1","1438","三地開發","-778.00","0.00","0.00","1889.00","1111.00","222110.00","223221.00"
"114/10/29","108","1","1439","雋揚","-8918.00","1079736.00","-724.00","48.00","1070142.00","28479.00","1098621.00"
"114/10/29","108","1","1440","南紡","36488.00","-425820.00","85191.00","20557.00","-283584.00","3080048.00","2796464.00"
"114/10/29","108","1","1441","大東","-72656.00","139678.00","-57993.00","222.00","9251.00","68788.00","78039.00"
"114/10/29","108","1","1442","名軒","-264692.00","57.00","226160.00","--","-38475.00","123530.00","85055.00"
"114/10/29","108","1","1443","立益物流","-15848.00","-59036.00","125145.00","-62706.00","-12445.00","74766.00","62321.00"
"114/10/29","108","1","1444","力麗","243347.00","-64167.00","-251168.00","3179.00","-68809.00","1498350.00","1429541.00"
"114/10/29","108","1","1445","大宇","56366.00","-1856.00","-108.00","--","54402.00","143987.00","198389.00"
"114/10/29","108","1","1446","宏和","-73467.00","-156.00","48849.00","504.00","-24270.00","341575.00","317305.00"
"114/10/29","108","1","1447","力鵬","-64167.00","-3267.00","-429073.00","13212.00","-483295.00","2129756.00","1646461.00"
"114/10/29","108","1","1449","佳和","-62106.00","-88231.00","133124.00","308.00","-16905.00","145568.00","128663.00"
"114/10/29","108","1","1451","年興","69762.00","-75331.00","-306407.00","21002.00","-290974.00","1575533.00","1284559.00"
"114/10/29","108","1","1452","宏益","16476.00","-172079.00","-553.00","118.00","-156038.00","522240.00","366202.00"
"114/10/29","108","1","1453","大將","-1216.00","0.00","0.00","--","-1216.00","53718.00","52502.00"
