出表日期,年度,季別,公司代號,公司名稱,營業活動之淨現金流入（流出）,投資活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）,匯率變動對現金及約當現金之影響,本期現金及約當現金增加（減少）數,期初現金及約當現金餘額,期末現金及約當現金餘額
114/10/28,112,2,1723,中碳,730194.00,-274090.00,-1242524.00,-6520.00,-792940.00,1556174.00,763234.00
114/10/28,112,2,1725,元禎,158544.00,-93996.00,-198987.00,8435.00,-126004.00,977520.00,851516.00
114/10/28,112,2,1726,永記,756788.00,-633524.00,-97611.00,-18283.00,7370.00,1504433.00,1511803.00
114/10/28,112,2,1727,中華化,168716.00,-122376.00,-39547.00,-973.00,5820.00,261671.00,267491.00
114/10/28,112,2,1730,花仙子,256922.00,-125155.00,-80398.00,-6828.00,44541.00,764465.00,809006.00
114/10/28,112,2,1731,美吾華,116817.00,-181716.00,63095.00,-1787.00,-3591.00,177504.00,173913.00
114/10/28,112,2,1732,毛寶,-20942.00,-2804.00,-781.00,-215.00,-24742.00,129255.00,104513.00
114/10/28,112,2,1733,五鼎,93425.00,-13888.00,-53989.00,8163.00,33711.00,331705.00,365416.00
114/10/28,112,2,1734,杏輝,98638.00,-126824.00,-182181.00,-9729.00,-220096.00,1237556.00,1017460.00
114/10/28,112,2,1735,日勝化,260338.00,-27419.00,-71787.00,-6679.00,154453.00,172219.00,326672.00
114/10/28,112,2,1736,喬山,346019.00,-270660.00,-1251373.00,-40069.00,-1216083.00,3531554.00,2315471.00
114/10/28,112,2,1737,臺鹽,169959.00,-146907.00,25668.00,-583.00,48137.00,1529098.00,1577235.00
114/10/28,112,2,1752,南光,90118.00,-73655.00,43224.00,-55.00,59632.00,401200.00,460832.00
114/10/28,112,2,1760,寶齡富錦,42793.00,-96987.00,142384.00,161.00,88351.00,464257.00,552608.00
