出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,權益－具證券性質之虛擬通貨,資本公積,保留盈餘（或累積虧損）,其他權益,庫藏股票,歸屬於母公司業主權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值,現金及約當現金,應收款項,本期所得稅資產,待出售資產,待分配予業主之資產（或處分群組）,投資,再保險合約資產,不動產及設備,使用權資產,無形資產,遞延所得稅資產,其他資產,分離帳戶保險商品資產,短期債務,應付款項,本期所得稅負債,與待出售資產直接相關之負債,透過損益按公允價值衡量之金融負債,避險之衍生金融負債,應付債券,特別股負債,其他金融負債,租賃負債,保險負債,具金融商品性質之保險契約準備,外匯價格變動準備,負債準備,遞延所得稅負債,其他負債,分離帳戶保險商品負債,權益─具證券性質之虛擬通貨,保留盈餘,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,權益總額,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,待分配予業主之資產－淨額,貼現及放款－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,使用權資產－淨額,投資性不動產投資－淨額,無形資產－淨額,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,避險之衍生金融負債－淨額,附買回票券及債券負債,當期所得稅負債,存款及匯款,應付金融債券,應付公司債,負債總額,存放央行及拆借金融同業,避險之衍生金融資產,附賣回票券及債券投資,Unnamed: 15,再保險合約資產－淨額,投資性不動產－淨額,央行及金融同業存款,應付商業本票－淨額,其他借款,歸屬於母公司業主之權益
114/10/28,113,2,1742,台蠟,2164523.00,1038553.00,3203076.00,1606230.00,148015.00,1754245.00,935593.00,,165098.00,,15930.00,-16780.00,,--,--,--,1448831.00,0.00,0.00,,15.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,348990.00,1448831.00,888000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,2,1777,生泰,1343601.00,1441581.00,2785182.00,362288.00,75489.00,437777.00,445917.00,,983776.00,,-3744.00,--,,--,--,--,2347405.00,0.00,0.00,,52.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,921456.00,--,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,2,1781,合世,424431.00,203772.00,628203.00,276151.00,15945.00,292096.00,474076.00,,8.00,,-48331.00,--,,--,--,--,336107.00,0.00,0.00,,7.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,-89646.00,336107.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,2,1784,訊聯,1685838.00,1123819.00,2809657.00,419784.00,342332.00,762116.00,531212.00,,651218.00,,-6253.00,-72719.00,,--,--,864050.00,2047541.00,0.00,0.00,,25.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,80033.00,1183491.00,2335000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,2,1785,光洋科,20235578.00,9024487.00,29260065.00,9744656.00,6356518.00,16101174.00,5962017.00,,4122226.00,,-151059.00,--,,--,--,24025.00,13158891.00,--,0.00,,22.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,3201682.00,13134866.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,2,1788,杏昌,2557979.00,2448965.00,5006944.00,1568081.00,559281.00,2127362.00,445210.00,,1601988.00,,-5095.00,--,,--,--,--,2879582.00,0.00,0.00,,64.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,837479.00,2879582.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,2,1796,金穎生技,485015.00,753652.00,1238667.00,206146.00,236427.00,442573.00,414598.00,,294336.00,,-2273.00,--,,--,--,--,796094.00,0.00,0.00,,19.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,89433.00,796094.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,2,1799,易威,676667.00,722322.00,1398989.00,168318.00,485478.00,653796.00,1218658.00,,134513.00,,14050.00,--,,--,--,4910.00,745193.00,0.00,0.00,,6.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,-626938.00,740283.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,2,1813,寶利徠,432400.00,670684.00,1103084.00,338145.00,16768.00,354913.00,466355.00,,213702.00,,-18290.00,--,,--,--,-11084.00,748171.00,--,0.00,,16.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,97488.00,759255.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,2,1815,富喬,3981331.00,9698976.00,13680307.00,2191625.00,4795514.00,6987139.00,4644192.00,,1910723.00,,102047.00,--,,--,--,--,6693168.00,--,0.00,,14.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,36206.00,6693168.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,2,2035,唐榮公司,3038231.00,14069614.00,17107845.00,2507004.00,10191520.00,12698524.00,3500000.00,,46.00,,140747.00,--,,--,--,--,4409321.00,--,0.00,,12.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,768528.00,--,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,2,2061,風青,916066.00,237508.00,1153574.00,594976.00,42284.00,637260.00,471083.00,,17317.00,,1900.00,--,,--,--,--,516314.00,0.00,0.00,,10.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,26014.00,516314.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,2,2063,世鎧,1425810.00,648766.00,2074576.00,397724.00,590044.00,987768.00,496015.00,,274250.00,,20670.00,--,,--,--,--,1086808.00,--,0.00,,21.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,295873.00,1086808.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,2,2064,晉椿,1182625.00,1443825.00,2626450.00,1488957.00,99875.00,1588832.00,696300.00,,101931.00,,-18700.00,-4104.00,,--,--,616.00,1037618.00,--,0.00,,14.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,261575.00,1037002.00,300000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,2,2065,世豐,1563262.00,1763727.00,3326989.00,1078697.00,353414.00,1432111.00,583420.00,,668837.00,,68495.00,--,,--,--,--,1894878.00,--,0.00,,32.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,574126.00,1894878.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,2,2066,世德,2810857.00,1011736.00,3822593.00,1127160.00,584683.00,1711843.00,441788.00,,516571.00,,-1064.00,-26095.00,,--,--,0.00,2110750.00,0.00,0.00,,48.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,1179550.00,2110750.00,500000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,2,2067,嘉鋼,642353.00,1249021.00,1891374.00,1122959.00,405279.00,1528238.00,451382.00,,--,,-6425.00,--,,--,--,69890.00,363136.00,--,0.00,,6.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,-151711.00,293246.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
