出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,權益－具證券性質之虛擬通貨,資本公積,保留盈餘（或累積虧損）,其他權益,庫藏股票,歸屬於母公司業主權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值,保留盈餘,歸屬於母公司業主之權益合計,權益總額,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,現金及約當現金,應收款項,本期所得稅資產,待出售資產,待分配予業主之資產（或處分群組）,投資,再保險合約資產,不動產及設備,使用權資產,無形資產,遞延所得稅資產,其他資產,分離帳戶保險商品資產,短期債務,應付款項,本期所得稅負債,與待出售資產直接相關之負債,透過損益按公允價值衡量之金融負債,避險之衍生金融負債,應付債券,特別股負債,其他金融負債,租賃負債,保險負債,具金融商品性質之保險契約準備,外匯價格變動準備,負債準備,遞延所得稅負債,其他負債,分離帳戶保險商品負債,權益─具證券性質之虛擬通貨,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,待分配予業主之資產－淨額,貼現及放款－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,使用權資產－淨額,投資性不動產投資－淨額,無形資產－淨額,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,避險之衍生金融負債－淨額,附買回票券及債券負債,當期所得稅負債,存款及匯款,應付金融債券,應付公司債,負債總額,存放央行及拆借金融同業,避險之衍生金融資產,附賣回票券及債券投資,Unnamed: 15,再保險合約資產－淨額,投資性不動產－淨額,央行及金融同業存款,應付商業本票－淨額,其他借款,歸屬於母公司業主之權益,<html>
114/10/28,110,2,4530,宏易,157240.00,183478.00,340718.00,31760.00,37130.00,68890.00,461723.00,,--,,7099.00,--,,--,--,15716.00,271828.00,--,0.00,,5.55,-212710.00,256112.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,2,4533,協易機,4646207.00,1434277.00,6080484.00,3040706.00,695701.00,3736407.00,1584341.00,,213219.00,,-213014.00,0.00,,--,--,--,2344077.00,--,0.00,,14.80,759531.00,2344077.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,2,4534,慶騰,1133122.00,633314.00,1766436.00,817697.00,9278.00,826975.00,891939.00,,67569.00,,-65938.00,-78904.00,,--,--,0.00,939461.00,--,0.00,,10.82,124795.00,939461.00,,2405000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,2,4535,至興,1898685.00,1116626.00,3015311.00,503768.00,29526.00,533294.00,756617.00,,150801.00,,-102101.00,0.00,,--,--,246537.00,2482017.00,0.00,0.00,,29.55,1430163.00,2235480.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,2,4538,大詠城,282704.00,503321.00,786025.00,113954.00,5043.00,118997.00,504560.00,,37958.00,,--,--,,--,--,--,667028.00,0.00,0.00,,13.22,124510.00,--,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,2,4541,晟田,1658123.00,2467044.00,4125167.00,922986.00,1621027.00,2544013.00,676471.00,,872266.00,,--,0.00,,--,--,--,1581154.00,0.00,0.00,,23.37,32417.00,--,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,2,4542,科嶠,1006797.00,188803.00,1195600.00,524146.00,105853.00,629999.00,282854.00,,160139.00,,-7836.00,--,,--,--,5265.00,565601.00,0.00,0.00,,19.81,125179.00,560336.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,2,4543,萬在,990295.00,1291576.00,2281871.00,517329.00,265302.00,782631.00,569700.00,,281033.00,,811.00,-14115.00,,--,--,--,1499240.00,--,0.00,,26.75,661811.00,1499240.00,,924000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,2,4549,桓達,1136334.00,911536.00,2047870.00,216970.00,304080.00,521050.00,423837.00,,319889.00,,-73207.00,-36973.00,,--,--,100.00,1526820.00,--,0.00,,36.45,893174.00,1526720.00,,500000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,2,4550,長佳,1188075.00,636486.00,1824561.00,932175.00,109886.00,1042061.00,378387.00,,116849.00,,-5039.00,--,,--,--,--,782500.00,--,0.00,,20.68,292303.00,782500.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,2,4554,橙的,542975.00,69759.00,612734.00,195122.00,19066.00,214188.00,213749.00,,170884.00,,-4969.00,--,,--,--,--,398546.00,--,0.00,,18.65,18882.00,398546.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,2,4556,旭然,769603.00,956135.00,1725738.00,302103.00,631738.00,933841.00,418840.00,,308050.00,,-47506.00,--,,--,--,--,791897.00,0.00,0.00,,18.91,112513.00,791897.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,2,4558,寶緯,1126840.00,625569.00,1752409.00,614010.00,451139.00,1065149.00,441000.00,,10000.00,,--,--,,--,--,--,687260.00,--,0.00,,15.58,236260.00,--,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,2,4561,健椿,1113740.00,1308941.00,2422681.00,657246.00,699526.00,1356772.00,585216.00,,210536.00,,--,--,,--,--,--,1065909.00,--,0.00,,18.21,270157.00,--,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,2,4563,百德,2206507.00,1458605.00,3665112.00,1345666.00,1077217.00,2422883.00,549500.00,,880109.00,,-49374.00,--,,--,--,--,1242229.00,--,0.00,,22.61,-138006.00,1242229.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,2,4568,科際精密,1115889.00,591382.00,1707271.00,381042.00,193097.00,574139.00,302765.00,,500184.00,,-80041.00,-13461.00,,--,--,--,1133132.00,--,0.00,,37.75,423685.00,1133132.00,,258000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,2,4577,達航科技,955456.00,1181276.00,2136732.00,877680.00,153548.00,1031228.00,430133.00,,51223.00,,-81892.00,0.00,,--,--,--,1105504.00,--,0.00,,25.70,706040.00,1105504.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,2,4580,捷流閥業,1770994.00,1093386.00,2864380.00,810513.00,325251.00,1135764.00,391320.00,,482680.00,,-19436.00,--,,--,--,--,1728616.00,--,0.00,,44.17,874052.00,1728616.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,2,4584,君帆,996129.00,674281.00,1670410.00,757125.00,254098.00,1011223.00,247800.00,,171000.00,,-40488.00,--,,--,--,--,659187.00,0.00,0.00,,26.60,280875.00,659187.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
