出表日期,年度,季別,公司代號,公司名稱,營業活動之淨現金流入（流出）,投資活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）,匯率變動對現金及約當現金之影響,本期現金及約當現金增加（減少）數,期初現金及約當現金餘額,期末現金及約當現金餘額,<html>
114/10/28,111,3,1788,杏昌,180514.00,-70711.00,-244199.00,2202.00,-132194.00,345010.00,212816.00,
114/10/28,111,3,1796,金穎生技,79268.00,-232361.00,-293149.00,1086.00,-445156.00,539611.00,94455.00,
114/10/28,111,3,1799,易威,-39202.00,38161.00,-7743.00,-4970.00,-13754.00,153028.00,139274.00,
114/10/28,111,3,1813,寶利徠,58411.00,-13923.00,-93528.00,-22045.00,-71085.00,277643.00,206558.00,
114/10/28,111,3,1815,富喬,1407599.00,-386397.00,-866135.00,114798.00,269865.00,1112068.00,1381933.00,
114/10/28,111,3,2035,唐榮公司,1540174.00,-31150.00,-2454895.00,--,-945871.00,1053624.00,107753.00,
114/10/28,111,3,2061,風青,-64393.00,-37492.00,95006.00,9107.00,2228.00,103720.00,105948.00,
114/10/28,111,3,2063,世鎧,186492.00,-17997.00,-283247.00,1260.00,-113492.00,328800.00,215308.00,
114/10/28,111,3,2064,晉椿,189094.00,304257.00,-510143.00,-43871.00,-60663.00,234534.00,173871.00,
114/10/28,111,3,2065,世豐,239098.00,-90626.00,-179336.00,27749.00,-3115.00,516731.00,513616.00,
114/10/28,111,3,2066,世德,191983.00,-17003.00,-119074.00,30337.00,86243.00,351987.00,438230.00,
114/10/28,111,3,2067,嘉鋼,46763.00,-53242.00,18622.00,-1020.00,11123.00,121888.00,133011.00,
114/10/28,111,3,2070,精湛,166509.00,43609.00,-278085.00,-188.00,-68155.00,324830.00,256675.00,
114/10/28,111,3,2073,雄順,99194.00,-41846.00,-52273.00,--,5075.00,51036.00,56111.00,
114/10/28,111,3,2221,大甲,75122.00,-41138.00,-148408.00,372.00,-114052.00,323429.00,209377.00,
114/10/28,111,3,2230,泰茂,39058.00,90731.00,-32936.00,-470.00,96383.00,177434.00,273817.00,
114/10/28,111,3,2235,謚源,196415.00,276253.00,-180838.00,--,291830.00,324462.00,616292.00,
114/10/28,111,3,2596,綠意,-373778.00,-289571.00,-122000.00,--,-785349.00,957545.00,172196.00,
114/10/28,111,3,2640,大車隊,514012.00,-254147.00,-405865.00,--,-146000.00,683174.00,537174.00,
114/10/28,111,3,2641,正德,1226.00,552987.00,895755.00,-78267.00,1371701.00,494465.00,1866166.00,
114/10/28,111,3,2643,捷迅,489138.00,-143777.00,-120246.00,65409.00,290524.00,555793.00,846317.00,
114/10/28,111,3,2718,全心投控,-384544.00,-155564.00,1223447.00,--,683339.00,374765.00,1058104.00,
114/10/28,111,3,2719,燦星旅,-51961.00,-1818.00,522058.00,--,468279.00,51852.00,520131.00,
114/10/28,111,3,2724,藝舍-KY,63485.00,-219980.00,-62544.00,705.00,-218334.00,274450.00,56116.00,
114/10/28,111,3,2726,雅茗-KY,-47268.00,290773.00,-238184.00,23016.00,28337.00,335995.00,364332.00,
114/10/28,111,3,2729,瓦城,354970.00,-280528.00,-531473.00,2743.00,-454288.00,1128357.00,674069.00,
114/10/28,111,3,2732,六角,423282.00,-85217.00,-216649.00,21081.00,142497.00,885355.00,1027852.00,
114/10/28,111,3,2734,易飛網,19504.00,-37989.00,40487.00,637.00,22639.00,192320.00,214959.00,
114/10/28,111,3,2736,富野,61384.00,4490.00,-68652.00,194.00,-2584.00,347811.00,345227.00,
114/10/28,111,3,2740,天蔥,-11390.00,-3271.00,195643.00,0.00,180982.00,6799.00,187781.00,
