出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值,權益－具證券性質之虛擬通貨,保留盈餘（或累積虧損）,歸屬於母公司業主權益合計,母公司暨子公司持有之母公司庫藏股股數（單位：股）,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,待分配予業主之資產－淨額,貼現及放款－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,使用權資產－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,租賃負債,遞延所得稅負債,其他負債,負債總額,權益總額,存放央行及拆借金融同業,避險之衍生金融資產,附賣回票券及債券投資,Unnamed: 15,再保險合約資產－淨額,投資性不動產－淨額,央行及金融同業存款,避險之衍生金融負債,應付商業本票－淨額,應付債券,其他借款,歸屬於母公司業主之權益,應收款項,本期所得稅資產,待出售資產,待分配予業主之資產（或處分群組）,投資,再保險合約資產,不動產及設備,使用權資產,無形資產,其他資產,分離帳戶保險商品資產,短期債務,本期所得稅負債,保險負債,具金融商品性質之保險契約準備,外匯價格變動準備,分離帳戶保險商品負債
114/10/28,111,1,2719,燦星旅,63517.00,164517.00,228034.00,34137.00,151833.00,185970.00,340721.00,--,22.00,-298679.00,0.00,--,42064.00,--,--,--,42064.00,--,0.00,0.00,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,1,2724,藝舍-KY,310268.00,517364.00,827632.00,142403.00,428926.00,571329.00,596564.00,--,334248.00,-609168.00,-65341.00,0.00,256303.00,0.00,--,0.00,256303.00,--,0.00,0.00,4.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,1,2726,雅茗-KY,750991.00,520203.00,1271194.00,473977.00,259773.00,733750.00,357852.00,--,215838.00,56720.00,-82956.00,-29605.00,517849.00,--,--,19595.00,537444.00,--,0.00,444000.00,14.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,1,2729,瓦城,1764518.00,3499841.00,5264359.00,1850789.00,1352632.00,3203421.00,232667.00,--,1292124.00,642560.00,-20393.00,-86020.00,2060938.00,--,--,--,2060938.00,0.00,0.00,373000.00,90.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,1,2732,六角,1871124.00,2258666.00,4129790.00,1578154.00,593153.00,2171307.00,459891.00,--,1050928.00,260632.00,-31417.00,-96697.00,1643337.00,--,--,315146.00,1958483.00,--,0.00,918000.00,36.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,1,2734,易飛網,377350.00,198591.00,575941.00,154435.00,190283.00,344718.00,372598.00,--,56415.00,-210016.00,-3044.00,--,215953.00,--,--,15270.00,231223.00,0.00,0.00,0.00,5.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,1,2736,富野,484957.00,1764407.00,2249364.00,279124.00,784706.00,1063830.00,489923.00,--,464530.00,281609.00,-50528.00,--,1185534.00,--,--,--,1185534.00,0.00,0.00,0.00,24.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,1,2740,天蔥,12802.00,70865.00,83667.00,35765.00,33710.00,69475.00,131855.00,--,123196.00,-238906.00,-1953.00,--,14192.00,--,--,--,14192.00,0.00,0.00,0.00,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,1,2743,山富,484078.00,250109.00,734187.00,207801.00,77783.00,285584.00,320317.00,--,96090.00,32517.00,--,-321.00,448603.00,--,--,--,448603.00,--,0.00,20000.00,14.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,1,2745,五福,230743.00,156095.00,386838.00,70417.00,7468.00,77885.00,293085.00,--,148157.00,-132289.00,--,--,308953.00,--,--,--,308953.00,--,0.00,0.00,10.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
