出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）,收入,支出,繼續營業單位稅前淨利（淨損）,其他綜合損益,利息淨收益,利息以外淨收益,淨收益,呆帳費用、承諾及保證責任準備提存,保險負債準備淨變動,繼續營業單位稅前損益,所得稅（費用）利益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,收益,支出及費用,營業利益,營業外損益,淨利（損）歸屬於母公司業主,淨利（損）歸屬於非控制權益,繼續營業單位稅前純益（純損）,繼續營業單位本期純益（純損）,其他綜合損益（稅後淨額）,利息以外淨損益,繼續營業單位本期稅後淨利（淨損）,其他綜合損益（稅後）,本期綜合損益總額（稅後）,淨利（損）歸屬於共同控制下前手權益
114/10/28,112,3,9918,欣天然,1461776.00,1021911.00,--,--,439865.00,--,--,439865.00,208502.00,--,231363.00,90300.00,321663.00,46507.00,275156.00,--,--,275156.00,0.00,--,275156.00,275156.00,--,--,275156.00,--,--,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,112,3,9919,康那香,2267168.00,2111866.00,--,--,155302.00,--,--,155302.00,492098.00,--,-336796.00,1676944.00,1340148.00,568865.00,771283.00,--,--,771283.00,2550.00,--,773833.00,771283.00,--,--,773833.00,--,--,3.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,112,3,9921,巨大,62100690.00,48833100.00,--,--,13267590.00,--,--,13267590.00,8835853.00,--,4431737.00,427637.00,4859374.00,1579958.00,3279416.00,--,--,3279416.00,305725.00,--,3585141.00,3120405.00,--,159011.00,3428698.00,--,156443.00,7.96,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,112,3,9924,福興,6552751.00,5109416.00,--,--,1443335.00,--,--,1443335.00,656047.00,--,787288.00,191552.00,978840.00,251403.00,727437.00,--,--,727437.00,-23774.00,--,703663.00,725133.00,--,2304.00,701354.00,--,2309.00,3.85,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,112,3,9925,新保,5812561.00,3777714.00,--,--,2034847.00,--,--,2034847.00,1376637.00,--,658210.00,317030.00,975240.00,154284.00,820956.00,--,--,820956.00,278220.00,--,1099176.00,763029.00,--,57927.00,1013230.00,--,85946.00,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,112,3,9926,新海,1721043.00,1200338.00,--,--,520705.00,--,--,520705.00,125583.00,3027.00,398149.00,78502.00,476651.00,85921.00,390730.00,--,--,390730.00,259943.00,--,650673.00,390730.00,--,--,650673.00,--,--,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,112,3,9927,泰銘,6793996.00,5809420.00,--,--,984576.00,--,--,984576.00,186558.00,--,798018.00,257482.00,1055500.00,228202.00,827298.00,--,--,827298.00,41373.00,--,868671.00,824942.00,--,2356.00,866387.00,--,2284.00,4.93,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,112,3,9928,中視,665474.00,611256.00,--,--,54218.00,--,--,54218.00,128788.00,--,-74570.00,35479.00,-39091.00,0.00,-39091.00,--,--,-39091.00,9728.00,--,-29363.00,-39091.00,--,0.00,-29363.00,--,0.00,-0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,112,3,9929,秋雨,492973.00,445559.00,--,--,47414.00,--,--,47414.00,58128.00,--,-10714.00,39023.00,28309.00,666.00,27643.00,--,--,27643.00,59311.00,--,86954.00,29338.00,--,-1695.00,88649.00,--,-1695.00,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,112,3,9930,中聯資源,9317160.00,8174006.00,--,--,1143154.00,--,--,1143154.00,352551.00,--,790603.00,-6839.00,783764.00,147660.00,636104.00,--,--,636104.00,-43105.00,--,592999.00,623832.00,--,12272.00,579040.00,--,13959.00,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,112,3,9931,欣高,920891.00,746172.00,--,--,174719.00,--,--,174719.00,46069.00,--,128650.00,38411.00,167061.00,32042.00,135019.00,--,--,135019.00,78200.00,--,213219.00,134032.00,--,987.00,210311.00,--,2908.00,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,112,3,9933,中鼎,73657247.00,69824949.00,--,--,3832298.00,--,--,3832298.00,1262859.00,--,2569439.00,76711.00,2646150.00,593560.00,2052590.00,--,--,2052590.00,34014.00,--,2086604.00,1294301.00,--,758289.00,1286055.00,--,800549.00,1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,112,3,9934,成霖,14007016.00,9835334.00,--,--,4171682.00,--,--,4171682.00,3905198.00,--,266484.00,320055.00,586539.00,190580.00,395959.00,--,--,395959.00,263495.00,--,659454.00,395959.00,--,--,659454.00,--,--,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,112,3,9935,慶豐富,3261441.00,2640206.00,--,--,621235.00,--,--,621235.00,512569.00,--,108666.00,-4459.00,104207.00,29040.00,75167.00,--,--,75167.00,63494.00,--,138661.00,75167.00,--,--,138661.00,--,--,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,112,3,9937,全國,18342871.00,16313921.00,--,--,2028950.00,--,--,2028950.00,1431598.00,--,597352.00,131986.00,729338.00,150105.00,579233.00,--,--,579233.00,48371.00,--,627604.00,579233.00,--,0.00,627604.00,--,0.00,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,
