出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）,繼續營業單位稅前純益（純損）,繼續營業單位本期純益（純損）,其他綜合損益（稅後淨額）,收益,支出及費用,營業利益,營業外損益,本期其他綜合損益（稅後淨額）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於非控制權益,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,繼續營業單位稅前淨利（淨損）,繼續營業單位本期稅後淨利（淨損）,本期稅後淨利（淨損）,其他綜合損益（稅後）,本期綜合損益總額（稅後）,淨利（損）歸屬於共同控制下前手權益,收入,支出,其他綜合損益,利息以外淨收益,淨收益,保險負債準備淨變動,繼續營業單位稅前損益,所得稅（費用）利益
114/10/28,114,1,8034,榮群,36861.00,7549.00,--,--,29312.00,--,--,29312.00,30540.00,--,-1228.00,1746.00,518.00,237.00,281.00,--,--,281.00,--,--,281.00,281.00,--,--,281.00,--,--,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,8038,長園科,38218.00,15000.00,--,--,23218.00,--,--,23218.00,35986.00,--,-12768.00,355.00,-12413.00,0.00,-12413.00,--,--,-12413.00,--,--,-12413.00,-11368.00,--,-1045.00,-11368.00,--,-1045.00,-0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,8040,九暘,162875.00,94957.00,--,--,67918.00,0.00,0.00,67918.00,89270.00,0.00,-21352.00,12518.00,-8834.00,0.00,-8834.00,0.00,--,-8834.00,--,--,-8834.00,--,--,--,--,--,--,-0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,8042,金山電,836247.00,668988.00,--,--,167259.00,--,--,167259.00,134744.00,--,32515.00,-22302.00,10213.00,19871.00,-9658.00,--,--,-9658.00,100295.00,--,90637.00,-9499.00,--,-159.00,89015.00,--,1622.00,-0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,8043,蜜望實,1052615.00,992374.00,--,--,60241.00,--,--,60241.00,48668.00,--,11573.00,-28894.00,-17321.00,7666.00,-24987.00,--,--,-24987.00,17296.00,--,-7691.00,-24987.00,--,--,-7691.00,--,--,-0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,8044,網家,8949663.00,7764563.00,--,--,1185100.00,--,--,1185100.00,1280379.00,--,-95279.00,84196.00,-11083.00,35519.00,-46602.00,--,--,-46602.00,-70788.00,--,-117390.00,-147729.00,--,101127.00,-165508.00,--,48118.00,-0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,8047,星雲,111625.00,69504.00,--,--,42121.00,--,--,42121.00,45657.00,--,-3536.00,2319.00,-1217.00,687.00,-1904.00,--,--,-1904.00,4819.00,--,2915.00,-1904.00,--,--,2915.00,--,--,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,8048,德勝,249402.00,167810.00,--,--,81592.00,--,--,81592.00,43879.00,--,37713.00,9366.00,47079.00,8930.00,38149.00,--,--,38149.00,3641.00,--,41790.00,38149.00,--,--,41790.00,--,--,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,8049,晶采,324198.00,226706.00,--,--,97492.00,--,--,97492.00,42556.00,--,54936.00,14056.00,68992.00,14259.00,54733.00,--,--,54733.00,4385.00,--,59118.00,54733.00,--,--,59118.00,--,--,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,8050,廣積,1547998.00,1201229.00,--,--,346769.00,--,--,346769.00,299012.00,--,47757.00,115326.00,163083.00,22001.00,141082.00,--,--,141082.00,-61443.00,--,79639.00,162567.00,--,-21485.00,100849.00,--,-21210.00,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
