出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨收益,淨收益,呆帳費用、承諾及保證責任準備提存,保險負債準備淨變動,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）,利息以外淨損益,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,合併前非屬共同控制股權損益,其他綜合損益（稅後）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,收益,支出及費用,營業利益,營業外損益,稅前淨利（淨損）,本期淨利（淨損）,營業收入,營業成本,營業利益（損失）,營業外收入及支出,繼續營業單位稅前純益（純損）,繼續營業單位本期純益（純損）,其他綜合損益（稅後淨額）,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,其他收益及費損淨額,其他綜合損益（淨額）,收入,支出,其他綜合損益
114/10/28,111,3,2836,高雄銀,2172319.00,,,55103.00,,1991716.00,,,,--,784943.00,,,,,,--,--,--,0.63,804559.00,930059.00,145116.00,784943.00,--,-2359969.00,--,-1575026.00,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,3,2838,聯邦銀,7429059.00,,,443008.00,,7996810.00,,,,--,2373725.00,,,,,,-5560385.00,--,2856.00,0.53,4122127.00,3111368.00,737643.00,2373725.00,--,-7931254.00,--,-5557529.00,2370872.00,--,2853.00,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,3,2845,遠東銀,5272457.00,,,400354.00,,5066875.00,,,,--,2503869.00,,,,,,385634.00,--,--,0.70,3096354.00,2901582.00,397713.00,2503869.00,--,-2118235.00,--,385634.00,2503869.00,--,--,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,3,2849,安泰銀,3125050.00,,,493270.00,,2206450.00,,,,0.00,1612669.00,,,,,,--,--,--,0.82,1496152.00,1921482.00,308813.00,1612669.00,--,-2095891.00,--,-483222.00,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,3,2897,王道銀行,3697396.00,,,392505.00,,3545127.00,,,,0.00,2386312.00,,,,,,-1212289.00,--,-1889376.00,0.58,3282589.00,3042353.00,656041.00,2386312.00,--,-5487977.00,--,-3101665.00,1704317.00,--,681995.00,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,3,5876,上海商銀,23667565.00,,,1416248.00,,12363690.00,,,,--,16228754.00,,,,,,3207474.00,--,4967962.00,2.91,9785031.00,19672658.00,3443904.00,16228754.00,--,-8053318.00,--,8175436.00,12988842.00,--,3239912.00,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,1,2816,旺旺保,,,,,,511790.00,,,,--,,,-54893.00,--,--,--,--,--,--,-0.28,,,24275.00,,--,,--,,,,,,,,,,-62048.00,2028805.00,1557042.00,-40027.00,2254.00,-37773.00,-62048.00,7155.00,,,,,,,,,,,
114/10/28,111,1,2832,台產,,,,,,268899.00,,,,--,,,227809.00,--,--,--,--,--,--,0.20,,,29351.00,,--,,--,,,,,,,,,,72967.00,1500713.00,1129905.00,101909.00,409.00,102318.00,72967.00,154842.00,,,,,,,,,,,
114/10/28,111,1,2850,新產,,,,,,890562.00,,,,--,,,356582.00,--,--,--,--,--,--,1.80,,,92486.00,,--,,--,,,,,,,,,,567269.00,4674172.00,3125421.00,658189.00,1566.00,659755.00,567269.00,-210687.00,,,,,,,,,,,
114/10/28,111,1,2851,中再保,,,,,,116071.00,,,,--,,,279440.00,--,--,--,--,--,--,1.07,,,105518.00,,--,,--,,,,,,,,,,632668.00,5529404.00,4675147.00,738186.00,0.00,738186.00,632668.00,-353228.00,,,,,,,,,,,
