出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值,權益－具證券性質之虛擬通貨,保留盈餘（或累積虧損）,歸屬於母公司業主權益合計,母公司暨子公司持有之母公司庫藏股股數（單位：股）,現金及約當現金,應收款項,本期所得稅資產,待出售資產,待分配予業主之資產（或處分群組）,投資,再保險合約資產,不動產及設備,使用權資產,無形資產,遞延所得稅資產,其他資產,分離帳戶保險商品資產,短期債務,應付款項,本期所得稅負債,與待出售資產直接相關之負債,透過損益按公允價值衡量之金融負債,避險之衍生金融負債,應付債券,特別股負債,其他金融負債,租賃負債,保險負債,具金融商品性質之保險契約準備,外匯價格變動準備,負債準備,遞延所得稅負債,其他負債,分離帳戶保險商品負債,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,待分配予業主之資產－淨額,貼現及放款－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,使用權資產－淨額,投資性不動產投資－淨額,無形資產－淨額,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,避險之衍生金融負債－淨額,附買回票券及債券負債,當期所得稅負債,存款及匯款,應付金融債券,應付公司債,負債總額,權益總額,存放央行及拆借金融同業,避險之衍生金融資產,附賣回票券及債券投資,Unnamed: 15,再保險合約資產－淨額,投資性不動產－淨額,央行及金融同業存款,應付商業本票－淨額,其他借款,歸屬於母公司業主之權益
114/10/28,114,1,3017,奇鋐,86216822.00,25607840.00,111824662.00,70395308.00,8076622.00,78471930.00,3900268.00,--,2549863.00,22550742.00,-153620.00,--,28847253.00,--,--,4505479.00,33352732.00,--,472000.00,0.00,74.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,3018,隆銘綠能,945061.00,679542.00,1624603.00,676663.00,249286.00,925949.00,730736.00,--,66380.00,-459523.00,361061.00,--,698654.00,--,--,0.00,698654.00,--,0.00,0.00,9.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,3019,亞光,22311938.00,3870747.00,26182685.00,9425565.00,323362.00,9748927.00,2792439.00,--,5476803.00,4999827.00,716463.00,--,13985532.00,--,--,2448226.00,16433758.00,0.00,0.00,0.00,50.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,3021,鴻名,2562581.00,729263.00,3291844.00,1455841.00,150377.00,1606218.00,958900.00,--,7675.00,683900.00,-17838.00,--,1632637.00,--,--,52989.00,1685626.00,0.00,0.00,0.00,17.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,3022,威強電,10929583.00,4498536.00,15428119.00,2608759.00,1145727.00,3754486.00,1765978.00,--,840240.00,9105001.00,-205627.00,--,11505592.00,--,--,168041.00,11673633.00,0.00,0.00,0.00,65.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,3023,信邦,23469578.00,5919311.00,29388889.00,11821722.00,942531.00,12764253.00,2400690.00,--,3124508.00,10857901.00,37852.00,--,16420951.00,--,--,203685.00,16624636.00,--,0.00,0.00,68.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,3024,憶聲,2443120.00,2184586.00,4627706.00,1215787.00,287834.00,1503621.00,2771575.00,--,1602.00,752075.00,-401167.00,--,3124085.00,--,--,--,3124085.00,0.00,0.00,0.00,11.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,3025,星通,795572.00,271971.00,1067543.00,139864.00,49559.00,189423.00,567365.00,--,43953.00,269417.00,-2615.00,--,878120.00,--,--,--,878120.00,--,0.00,0.00,15.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,3026,禾伸堂,11001176.00,4811825.00,15813001.00,4711584.00,1463198.00,6174782.00,1658903.00,--,3160005.00,4624904.00,-68406.00,--,9375406.00,--,--,262813.00,9638219.00,--,0.00,0.00,56.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,3027,盛達,2085020.00,1539502.00,3624522.00,1001456.00,129027.00,1130483.00,1160396.00,--,686758.00,349960.00,-27266.00,-24677.00,2145171.00,--,--,348868.00,2494039.00,--,35500.00,1126000.00,18.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,3028,增你強,18880131.00,1334986.00,20215117.00,13920877.00,213771.00,14134648.00,2372412.00,--,1345992.00,1781859.00,580206.00,--,6080469.00,--,--,--,6080469.00,0.00,0.00,0.00,25.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
