公司代號名稱,股東會日期,股利所屬年(季)度,股東配發-盈餘分配之現金股利(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股)
8426 - 紅木-KY,109/06/08,108年 年度,0.0,                  0,0.0
8426 - 紅木-KY,不適用,108年 上半年,0.0,                  0,0.0
8426 - 紅木-KY,109/06/08,108年 年度,0.0,                  0,0.0
8426 - 紅木-KY,不適用,108年 上半年,0.0,                  0,0.0
8429 - 金麗-KY,109/06/23,108年 年度,0.02000000,"          3,714,943",0.0
8429 - 金麗-KY,109/06/23,108年 年度,0.02000000,"          3,714,943",0.0
8429 - 金麗-KY,109/06/23,108年 年度,0.02000000,"          3,714,943",0.0
8429 - 金麗-KY,109/06/23,108年 年度,0.02000000,"          3,714,943",0.0
8431 - 匯鑽科,109/06/30,108年 年度,0.0,                  0,0.0
8431 - 匯鑽科,109/06/30,108年 年度,0.0,                  0,0.0
8431 - 匯鑽科,109/06/30,108年 年度,0.0,                  0,0.0
8431 - 匯鑽科,109/06/30,108年 年度,0.0,                  0,0.0
8432 - 東生華,109/05/29,108年 年度,1.80000000,"         69,116,652",0.0
8432 - 東生華,109/05/29,108年 年度,1.80000000,"         69,116,652",0.0
8432 - 東生華,109/05/29,108年 年度,1.80000000,"         69,116,652",0.0
8432 - 東生華,109/05/29,108年 年度,1.80000000,"         69,116,652",0.0
8433 - 弘帆,109/06/19,108年 年度,2.00000000,"        104,163,200",0.0
8433 - 弘帆,109/06/19,108年 年度,2.00000000,"        104,163,200",0.0
8433 - 弘帆,109/06/19,108年 年度,2.00000000,"        104,163,200",0.0
8433 - 弘帆,109/06/19,108年 年度,2.00000000,"        104,163,200",0.0
8435 - 鉅邁,109/06/09,108年 年度,3.35000000,"        106,196,508",0.0
8435 - 鉅邁,109/06/09,108年 年度,3.35000000,"        106,196,508",0.0
8435 - 鉅邁,109/06/09,108年 年度,3.35000000,"        106,196,508",0.0
8435 - 鉅邁,109/06/09,108年 年度,3.35000000,"        106,196,508",0.0
8436 - 大江,109/06/18,108年 年度,8.88000000,"      1,040,622,060",0.0
8436 - 大江,109/06/18,108年 年度,8.88000000,"      1,040,622,060",0.0
8436 - 大江,109/06/18,108年 年度,8.88000000,"      1,040,622,060",0.0
8436 - 大江,109/06/18,108年 年度,8.88000000,"      1,040,622,060",0.0
8437 - 大地-KY,109/06/17,108年 年度,7.50000000,"        358,883,025",0.0
8437 - 大地-KY,109/06/17,108年 年度,7.50000000,"        358,883,025",0.0
8437 - 大地-KY,109/06/17,108年 年度,7.50000000,"        358,883,025",0.0
8437 - 大地-KY,109/06/17,108年 年度,7.50000000,"        358,883,025",0.0
8438 - 昶昕,109/06/18,108年 年度,0.20000000,"         12,530,800",0.0
8438 - 昶昕,109/06/18,108年 年度,0.20000000,"         12,530,800",0.0
8438 - 昶昕,109/06/18,108年 年度,0.20000000,"         12,530,800",0.0
8438 - 昶昕,109/06/18,108年 年度,0.20000000,"         12,530,800",0.0
8440 - 綠電,109/04/29,108年 年度,0.40000000,"         15,200,090",0.0
8440 - 綠電,109/04/29,108年 年度,0.40000000,"         15,200,090",0.0
8440 - 綠電,109/04/29,108年 年度,0.40000000,"         15,200,090",0.0
8440 - 綠電,109/04/29,108年 年度,0.40000000,"         15,200,090",0.0
8442 - 威宏-KY,不適用,108年 年度,0.30000000,"         17,999,905",0.0
8442 - 威宏-KY,不適用,108年 年度,0.30000000,"         17,999,905",0.0
8442 - 威宏-KY,不適用,108年 年度,0.30000000,"         17,999,905",0.0
8442 - 威宏-KY,不適用,108年 年度,0.30000000,"         17,999,905",0.0
8443 - 阿瘦,不適用,108年 年度,0.0,"         10,020,000",0.0
