公司代號,公司名稱,年度,季別,股東會日期,股利所屬期間,決議（擬議）進度,股東配發-盈餘分配之現金股利(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-股東配股總股數(股)
4952,凌通,107,Y1,108/06/13,107/01/01~107/12/31,股東會確認,2.26000000,"        272,039,541",0.0,                  0
4952,凌通,107,Y1,108/06/13,107/01/01~107/12/31,股東會確認,2.26000000,"        272,039,541",0.0,                  0
4952,凌通,107,Y1,108/06/13,107/01/01~107/12/31,股東會確認,2.26000000,"        272,039,541",0.0,                  0
4952,凌通,107,Y1,108/06/13,107/01/01~107/12/31,股東會確認,2.26000000,"        272,039,541",0.0,                  0
4953,緯軟,107,Y1,108/06/24,107/01/01~107/12/31,股東會確認,1.70000000,"        102,363,381",1.00000000,"          6,021,375"
4953,緯軟,107,Y1,108/06/24,107/01/01~107/12/31,股東會確認,1.70000000,"        102,363,381",1.00000000,"          6,021,375"
4953,緯軟,107,Y1,108/06/24,107/01/01~107/12/31,股東會確認,1.70000000,"        102,363,381",1.00000000,"          6,021,375"
4953,緯軟,107,Y1,108/06/24,107/01/01~107/12/31,股東會確認,1.70000000,"        102,363,381",1.00000000,"          6,021,375"
4956,光鋐,107,Y1,108/06/14,107/01/01~107/12/31,股東會確認,0.0,                  0,0.0,                  0
4956,光鋐,107,Y1,108/06/14,107/01/01~107/12/31,股東會確認,0.0,                  0,0.0,                  0
4956,光鋐,107,Y1,108/06/14,107/01/01~107/12/31,股東會確認,0.0,                  0,0.0,                  0
4956,光鋐,107,Y1,108/06/14,107/01/01~107/12/31,股東會確認,0.0,                  0,0.0,                  0
4958,臻鼎-KY,107,Y1,108/06/21,107/01/01~107/12/31,股東會確認,4.45977400,"      4,023,741,795",0.0,                  0
4958,臻鼎-KY,107,Y1,108/06/21,107/01/01~107/12/31,股東會確認,4.45977400,"      4,023,741,795",0.0,                  0
4958,臻鼎-KY,107,Y1,108/06/21,107/01/01~107/12/31,股東會確認,4.45977400,"      4,023,741,795",0.0,                  0
4958,臻鼎-KY,107,Y1,108/06/21,107/01/01~107/12/31,股東會確認,4.45977400,"      4,023,741,795",0.0,                  0
4960,誠美材,107,Y1,108/06/28,107/01/01~107/12/31,股東會確認,0.0,                  0,0.0,                  0
4960,誠美材,107,Y1,108/06/28,107/01/01~107/12/31,股東會確認,0.0,                  0,0.0,                  0
4960,誠美材,107,Y1,108/06/28,107/01/01~107/12/31,股東會確認,0.0,                  0,0.0,                  0
4960,誠美材,107,Y1,108/06/28,107/01/01~107/12/31,股東會確認,0.0,                  0,0.0,                  0
4961,天鈺,107,Y1,108/06/25,107/01/01~107/12/31,股東會確認,1.30000000,"        211,690,521",0.0,                  0
4961,天鈺,107,Y1,108/06/25,107/01/01~107/12/31,股東會確認,1.30000000,"        211,690,521",0.0,                  0
4961,天鈺,107,Y1,108/06/25,107/01/01~107/12/31,股東會確認,1.30000000,"        211,690,521",0.0,                  0
4961,天鈺,107,Y1,108/06/25,107/01/01~107/12/31,股東會確認,1.30000000,"        211,690,521",0.0,                  0
4966,譜瑞-KY,107,Y1,108/06/18,107/01/01~107/12/31,股東會確認,12.31044592,"        980,750,859",0.0,                  0
4966,譜瑞-KY,107,Y1,108/06/18,107/01/01~107/12/31,股東會確認,12.31044592,"        980,750,859",0.0,                  0
4966,譜瑞-KY,107,Y1,108/06/18,107/01/01~107/12/31,股東會確認,12.31044592,"        980,750,859",0.0,                  0
4966,譜瑞-KY,107,Y1,108/06/18,107/01/01~107/12/31,股東會確認,12.31044592,"        980,750,859",0.0,                  0
4967,十銓,107,Y1,108/06/21,107/01/01~107/12/31,股東會確認,2.00000000,"        136,514,978",0.0,                  0
4967,十銓,107,Y1,108/06/21,107/01/01~107/12/31,股東會確認,2.00000000,"        136,514,978",0.0,                  0
4967,十銓,107,Y1,108/06/21,107/01/01~107/12/31,股東會確認,2.00000000,"        136,514,978",0.0,                  0
4967,十銓,107,Y1,108/06/21,107/01/01~107/12/31,股東會確認,2.00000000,"        136,514,978",0.0,                  0
4968,立積,107,Y1,108/05/24,107/01/01~107/12/31,股東會確認,1.49201800,"         90,564,117",0.0,                  0
4968,立積,107,Y1,108/05/24,107/01/01~107/12/31,股東會確認,1.49201800,"         90,564,117",0.0,                  0
4968,立積,107,Y1,108/05/24,107/01/01~107/12/31,股東會確認,1.49201800,"         90,564,117",0.0,                  0
4968,立積,107,Y1,108/05/24,107/01/01~107/12/31,股東會確認,1.49201800,"         90,564,117",0.0,                  0
4971,IET-KY,107,Y1,108/06/28,107/01/01~107/12/31,股東會確認,1.00000000,"         36,235,543",0.0,                  0
4971,IET-KY,107,Y1,108/06/28,107/01/01~107/12/31,股東會確認,1.00000000,"         36,235,543",0.0,                  0
4971,IET-KY,107,Y1,108/06/28,107/01/01~107/12/31,股東會確認,1.00000000,"         36,235,543",0.0,                  0
4971,IET-KY,107,Y1,108/06/28,107/01/01~107/12/31,股東會確認,1.00000000,"         36,235,543",0.0,                  0
4972,湯石照明,107,Y1,108/05/29,107/01/01~107/12/31,股東會確認,2.30000000,"         92,093,847",0.0,                  0
4972,湯石照明,107,Y1,108/05/29,107/01/01~107/12/31,股東會確認,2.30000000,"         92,093,847",0.0,                  0
