出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"115/08/05","115","2","6202","盛群","4772862.00","1091251.00","5864113.00","1382877.00","357429.00","1740306.00","2303882.00","--","250130.00","1477260.00","13460.00","--","4044732.00","--","--","79075.00","4123807.00","0.00","0.00","0.00","17.56"
"115/08/05","115","2","6271","同欣電","12307463.00","23661768.00","35969231.00","4741953.00","3945258.00","8687211.00","2090581.00","--","14499323.00","10394569.00","242947.00","0.00","27227420.00","0.00","--","54600.00","27282020.00","0.00","0.00","0.00","130.24"
"115/08/05","115","2","6412","群電","27206234.00","7828530.00","35034764.00","19227668.00","359449.00","19587117.00","4007691.00","--","3236424.00","8312173.00","-108641.00","--","15447647.00","--","--","--","15447647.00","0.00","0.00","0.00","38.55"
"115/08/05","115","2","6581","鋼聯","758959.00","4617334.00","5376293.00","524816.00","468272.00","993088.00","1112709.00","--","999216.00","2271280.00","--","--","4383205.00","--","--","--","4383205.00","--","0.00","0.00","39.39"
"115/08/05","115","2","6585","鼎基","2222579.00","3117061.00","5339640.00","1267064.00","149232.00","1416296.00","721336.00","--","980472.00","2215761.00","5775.00","--","3923344.00","--","--","--","3923344.00","0.00","0.00","0.00","54.39"
"115/08/05","115","2","6799","來頡","1748178.00","195619.00","1943797.00","293915.00","2386.00","296301.00","436522.00","--","583757.00","657640.00","-1998.00","-28425.00","1647496.00","--","--","--","1647496.00","0.00","0.00","269000.00","37.98"
"115/08/05","115","2","6834","天二科技","1588321.00","1015619.00","2603940.00","1036252.00","24748.00","1061000.00","884711.00","--","437981.00","239314.00","-19066.00","--","1542940.00","--","--","--","1542940.00","--","0.00","0.00","17.44"
"115/08/05","115","2","6908","宏�砦C戲-創","2127569.00","1424056.00","3551625.00","1286153.00","215369.00","1501522.00","371800.00","--","858028.00","37972.00","32089.00","--","1299889.00","0.00","--","750214.00","2050103.00","0.00","0.00","0.00","34.96"
"115/08/05","115","2","6947","台鎔科技","976574.00","7016332.00","7992906.00","1591194.00","4131164.00","5722358.00","943333.00","--","776667.00","550548.00","--","--","2270548.00","--","--","--","2270548.00","--","0.00","0.00","24.07"
"115/08/05","115","2","7711","永擎","15409622.00","570541.00","15980163.00","10547352.00","7205.00","10554557.00","717004.00","--","3050674.00","1678632.00","-8022.00","-12682.00","5425606.00","--","--","--","5425606.00","--","0.00","48000.00","75.72"
