出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/10/28","111","2","5514","三豐","3079.00","639.00","--","--","2440.00","--","--","2440.00","23304.00","--","-20864.00","820.00","-20044.00","-3697.00","-16347.00","--","--","-16347.00","-116562.00","--","-132909.00","-16343.00","--","-4.00","-132905.00","--","-4.00","-0.08"
"114/10/28","111","2","5516","雙喜","915816.00","827844.00","--","--","87972.00","--","--","87972.00","18017.00","--","69955.00","-17777.00","52178.00","11436.00","40742.00","--","--","40742.00","0.00","--","40742.00","--","--","--","--","--","--","0.99"
"114/10/28","111","2","5520","力泰","1611974.00","1293311.00","--","--","318663.00","--","--","318663.00","73312.00","--","245351.00","12916.00","258267.00","56152.00","202115.00","--","--","202115.00","-1297.00","--","200818.00","186814.00","--","15301.00","185523.00","--","15295.00","3.10"
"114/10/28","111","2","5523","豐謙","170388.00","119469.00","--","--","50919.00","--","--","50919.00","21941.00","--","28978.00","455296.00","484274.00","27512.00","456762.00","--","--","456762.00","--","--","456762.00","456254.00","--","508.00","456254.00","--","508.00","2.94"
"114/10/28","111","2","5529","鉅陞","31794.00","21002.00","--","--","10792.00","--","--","10792.00","50011.00","--","-39219.00","-9252.00","-48471.00","0.00","-48471.00","--","--","-48471.00","--","--","-48471.00","-48471.00","--","--","-48471.00","--","--","-0.39"
"114/10/28","111","2","5530","龍巖","2144809.00","657587.00","--","--","1487222.00","--","--","1487222.00","717189.00","52521.00","822554.00","398344.00","1220898.00","169155.00","1051743.00","--","--","1051743.00","-1260212.00","--","-208469.00","993134.00","--","58609.00","-252250.00","--","43781.00","2.36"
"114/10/28","111","2","5536","聖暉*","11898564.00","9925904.00","--","--","1972660.00","--","--","1972660.00","580907.00","--","1391753.00","6552.00","1398305.00","414409.00","983896.00","--","--","983896.00","-1693.00","--","982203.00","720424.00","--","263472.00","711450.00","--","270753.00","12.58"
"114/10/28","111","2","5543","桓鼎-KY","1689091.00","1461331.00","--","--","227760.00","--","--","227760.00","192055.00","--","35705.00","26829.00","62534.00","29619.00","32915.00","--","--","32915.00","26447.00","--","59362.00","-8985.00","--","41900.00","28015.00","--","31347.00","-0.24"
"114/10/28","111","2","5548","安倉","710565.00","629614.00","--","--","80951.00","--","--","80951.00","35520.00","--","45431.00","6640.00","52071.00","10422.00","41649.00","--","--","41649.00","--","--","41649.00","--","--","--","--","--","--","1.29"
"114/10/28","111","2","5601","台聯櫃","42676.00","17349.00","--","--","25327.00","--","--","25327.00","9550.00","0.00","15777.00","207.00","15984.00","3197.00","12787.00","--","--","12787.00","--","--","12787.00","--","--","--","--","--","--","0.20"
