出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/10/29","111","1","6593","台灣銘板","150734.00","109650.00","--","--","41084.00","--","--","41084.00","27683.00","--","13401.00","976.00","14377.00","2875.00","11502.00","--","--","11502.00","--","--","11502.00","--","--","--","--","--","--","0.57"
"114/10/29","111","1","6596","寬宏藝術","410464.00","333552.00","--","--","76912.00","--","--","76912.00","56137.00","-25079.00","-4304.00","18841.00","14537.00","2987.00","11550.00","--","--","11550.00","46.00","--","11596.00","11550.00","--","--","11596.00","--","--","0.39"
"114/10/29","111","1","6603","富強鑫","1057368.00","785974.00","--","--","271394.00","--","--","271394.00","219037.00","--","52357.00","5376.00","57733.00","23596.00","34137.00","--","--","34137.00","69985.00","--","104122.00","34805.00","--","-668.00","98829.00","--","5293.00","0.23"
"114/10/29","111","1","6609","瀧澤科","769586.00","589485.00","--","--","180101.00","--","--","180101.00","118281.00","--","61820.00","45883.00","107703.00","17658.00","90045.00","--","--","90045.00","12297.00","--","102342.00","90045.00","--","--","102342.00","--","--","1.24"
"114/10/29","111","1","6612","奈米醫材","119124.00","18010.00","--","--","101114.00","--","--","101114.00","65221.00","--","35893.00","-358.00","35535.00","11030.00","24505.00","--","--","24505.00","-8209.00","--","16296.00","29697.00","--","-5192.00","18858.00","--","-2562.00","0.88"
"114/10/29","111","1","6613","朋億*","1678334.00","1264761.00","--","--","413573.00","--","--","413573.00","161602.00","--","251971.00","51720.00","303691.00","78118.00","225573.00","--","--","225573.00","48491.00","--","274064.00","175466.00","--","50107.00","223957.00","--","50107.00","5.17"
"114/10/29","111","1","6615","慧智","125702.00","81561.00","--","--","44141.00","--","--","44141.00","35596.00","--","8545.00","8665.00","17210.00","2971.00","14239.00","--","--","14239.00","5.00","--","14244.00","14314.00","--","-75.00","14318.00","--","-74.00","0.67"
"114/10/29","111","1","6616","特昇-KY","365531.00","285515.00","--","--","80016.00","--","--","80016.00","49949.00","--","30067.00","6058.00","36125.00","11105.00","25020.00","--","--","25020.00","13099.00","--","38119.00","27513.00","--","-2493.00","40392.00","--","-2273.00","0.96"
"114/10/29","111","1","6624","萬年清","32806.00","27767.00","--","--","5039.00","--","--","5039.00","16643.00","--","-11604.00","4024.00","-7580.00","-1516.00","-6064.00","--","--","-6064.00","-162.00","--","-6226.00","-6064.00","--","--","-6226.00","--","--","-0.34"
"114/10/29","111","1","6629","泰金-KY","320565.00","246546.00","--","--","74019.00","--","--","74019.00","21697.00","--","52322.00","13502.00","65824.00","10780.00","55044.00","--","--","55044.00","25850.00","--","80894.00","55046.00","--","-2.00","80889.00","--","5.00","1.54"
