出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/10/28","111","1","5201","凱衛","465992.00","48217.00","514209.00","147361.00","17091.00","164452.00","306746.00","--","2795.00","73190.00","-32974.00","--","349757.00","--","--","--","349757.00","--","0.00","0.00","11.40"
"114/10/28","111","1","5202","力新","944633.00","376072.00","1320705.00","81447.00","32145.00","113592.00","1012740.00","--","0.00","160852.00","-92364.00","--","1081228.00","--","--","125885.00","1207113.00","0.00","30000000.00","0.00","12.14"
"114/10/28","111","1","5205","中茂","75676.00","5842.00","81518.00","22115.00","3396.00","25511.00","102500.00","--","42789.00","-32808.00","-56474.00","--","56007.00","--","--","0.00","56007.00","--","0.00","0.00","5.46"
"114/10/28","111","1","5206","坤悅","10579863.00","249338.00","10829201.00","6927707.00","1005799.00","7933506.00","1559250.00","--","169260.00","1167185.00","0.00","0.00","2895695.00","--","--","--","2895695.00","0.00","0.00","0.00","18.57"
"114/10/28","111","1","5209","新鼎","2654267.00","477797.00","3132064.00","2031251.00","347994.00","2379245.00","285106.00","--","137819.00","309439.00","15851.00","--","748215.00","--","--","4604.00","752819.00","0.00","291750.00","0.00","27.05"
"114/10/28","111","1","5210","寶碩","583856.00","294519.00","878375.00","333304.00","18218.00","351522.00","621778.00","--","0.00","-68030.00","-26895.00","0.00","526853.00","--","--","0.00","526853.00","0.00","0.00","0.00","8.47"
"114/10/28","111","1","5211","蒙恬","548733.00","148693.00","697426.00","93752.00","27081.00","120833.00","320247.00","--","112766.00","138604.00","-7449.00","0.00","564168.00","--","--","12425.00","576593.00","0.00","0.00","0.00","17.62"
"114/10/28","111","1","5212","凌網","506548.00","194792.00","701340.00","147217.00","56543.00","203760.00","346330.00","--","3853.00","145874.00","-7582.00","--","488475.00","--","--","9105.00","497580.00","--","0.00","0.00","14.10"
"114/10/28","111","1","5213","亞昕","40021880.00","5074531.00","45096411.00","27677267.00","8565437.00","36242704.00","3469721.00","--","2196189.00","2154084.00","-233541.00","--","7586453.00","--","--","1267254.00","8853707.00","0.00","0.00","0.00","21.86"
"114/10/28","111","1","5220","萬達光電","772936.00","713370.00","1486306.00","397087.00","244243.00","641330.00","396670.00","--","45834.00","402474.00","-2.00","--","844976.00","--","--","--","844976.00","0.00","0.00","0.00","21.30"
"114/10/28","111","1","5223","安力-KY","2697002.00","1253693.00","3950695.00","1186178.00","666216.00","1852394.00","445498.00","--","561556.00","1123676.00","-32429.00","--","2098301.00","--","--","--","2098301.00","0.00","0.00","0.00","47.10"
"114/10/28","111","1","5227","立凱-KY","533476.00","611952.00","1145428.00","529613.00","198034.00","727647.00","600000.00","--","143009.00","-352366.00","27138.00","--","417781.00","--","--","0.00","417781.00","0.00","0.00","0.00","6.96"
"114/10/28","111","1","5228","鈺鎧","336400.00","983592.00","1319992.00","297106.00","455007.00","752113.00","335793.00","--","19454.00","210925.00","1707.00","--","--","--","--","--","567879.00","0.00","0.00","0.00","16.91"
"114/10/28","111","1","5230","雷笛克光學","1117325.00","1107511.00","2224836.00","589445.00","389638.00","979083.00","469559.00","--","539411.00","367648.00","-135067.00","--","1241551.00","--","--","4202.00","1245753.00","--","0.00","0.00","26.44"
